KTU 2.39
id,surface form,morphological parsing,DULAT,POS,gloss,comments
# KTU 2.39 1,,,,,,
157921,tḥm,tḥm/,tḥm,n. m. sg.,message,
157922,špš,špš/,špš,n. sg.,sun,
# KTU 2.39 2,,,,,,
157923,l,l(I),l (I),prep.,to,
157924,ˤmrpi,ˤmrpi/,ʕmrpỉ,PN,ʿAmmurāpʾi,
157925,rgm,!!rgm[,/r-g-m/,vb G suffc. / vb G impv.,to say,
# KTU 2.39 3,,,,,,
157926,ˤm,ˤm(I),ʕm (I),prep.,to,
157927,špš,špš/,špš,n. sg.,sun,
157928,kll,kll/,kll,n. m. sg.,everything,
157929,midm,midm/,mỉ/ủd,n. m.,abundance,
# KTU 2.39 4,,,,,,
157930,šlm,šlm(I)/,šlm (I),n. m. sg.,peace,
# KTU 2.39 5,,,,,,
157931,l,l(I),l (I),prep.,to,
157932,pˤn,pˤn/,pʕn,n. f.,at the feet of,
157933,adn,adn(I)/,ảdn (I),n. m. sg.,lord,
157934,špš,špš/,špš,n. sg.,sun,
# KTU 2.39 6,,,,,,
157935,adnh,adn(I)/+h,ảdn (I),n. m.,father,
157936,ˤbdh,ˤbd(I)/+h,ʕbd (I),n. m.,servant,
157937,uk,uk,ủk,positive emph. functor,indeed,
157938,škn,škn[:d,/š-k-n/,vb D perfect.,to settle,
# KTU 2.39 7,,,,,,
157939,k,k(III),k (III),Subordinating or completive functor,when,
157940,ˤbdm,ˤbd(I)/m,ʕbd (I),n. m. pl.,servant,
157941,sglth,sgl(t/t+h,sglt,n. f. sg.,treasure,
157942,hw,hw,hw,pers. pn.,he,
# KTU 2.39 8,,,,,,
157943,w,w,w,conj.,and,
157944,bˤlh,bˤl(II)/h,bʕl (II),n. m. sg./DN,Lord,
157945,uk,uk,ủk,positive emph. functor,yes,
157946,nġr,nġr[,/n-ġ-r/,vb G impv.,to protect,
# KTU 2.39 9,,,,,,
157947,w,w,w,conj.,and,
157948,ḏrˤ,ḏrˤ(I)/,ḏrʕ (I),n. f.,grain,
157949,l,l(I),l (I),prep.,to,
157950,adny,adn(I)/+y,ảdn (I),n. m.,lord,
157951,l,l(III),l (III),functor,certainly,
157952,yḫsr,!y!ḫsr[,/ḫ-s-r/,vb G prefc.,to fail,
# KTU 2.39 10,,,,,,
157953,w,w,w,conj.,and,
157954,at,at(I),ảt (I),pers. pn.,you,
157955,ydˤ,!y!(ydˤ[,/y-d-ʕ/ (I),vb G suffc.,to know,
157956,l,l(III),l (III),functor,certainly,
157957,ydˤt,ydˤ(I)[t,/y-d-ʕ/ (I),vb G pass.,you knew,
# KTU 2.39 11,,,,,,
157958,ht,ht,ht,adv.,here,
157959,xxx,?,?,?,?,
157960,l,l(I),l (I),prep.,to,
157961,špš,špš/,špš,n. sg.,sun,
157962,bˤlk,bˤl(II)/,bʕl (II),n. m. sg./DN,your master,
# KTU 2.39 12,,,,,,
157963,ˤbdm,ˤbd(I)/m,ʕbd (I),n. m. pl.,servant,
157964,sglth,sgl(t/t+h,sglt,n. f. sg.,treasure,
157965,at,at(I),ảt (I),pers. pn.,you,
# KTU 2.39 13,,,,,,
157966,ht,ht,ht,adv.,here,
157967,xxx,?,?,?,?,
157968,špš,špš/,špš,n. sg.,sun,
157969,bˤlk,bˤl(II)/,bʕl (II),n. m. sg./DN,your master,
# KTU 2.39 14,,,,,,
157970,ydˤm,(ydˤ(I)[/m,/y-d-ʕ/ (I),vb G participle.,to know,
157971,l,l(III),l (III),functor,certainly,
157972,ydˤt,ydˤ(I)[t,/y-d-ʕ/ (I),vb G pass..,to know,
# KTU 2.39 15,,,,,,
157973,ˤmy,ˤm(I)+y,ʕm (I),prep.,to,
157974,špš,špš/,špš,n. sg.,sun,
157975,bˤlk,bˤl(II)/,bʕl (II),n. m. sg./DN,your master,
# KTU 2.39 16,,,,,,
157976,šnt,šn(t(I)/t,šnt (I),n. f. sg.,year,
157977,šntm,šnt(I)/m,šnt (I),n. f. sg. / n. f. du.,year (from year to year),
157978,lm,l(II),l (II),prep.,why,
157979,l,l(II),l (II),adv.,no,
157980,tlk,!t!lk[,/h-l-k/,vb G imperfect.,to go,
# KTU 2.39 17,,,,,,
157981,w,w,w,conj.,and,
157982,lḥt,lḥ(II)/t=,lḥ (II),n. m. pl.,missive,
