KTU 2.16
id,surface form,morphological parsing,DULAT,POS,gloss,comments
# KTU 2.16 1,,,,,,
156768,tḥm,tḥm/,tḥm,n. m. sg.,message,
156769,tlmyn,tlmyn/,tlmyn,PN,tlmyn,
# KTU 2.16 2,,,,,,
156770,l,l(I),l (I),prep.,to,
156771,ṯryl,ṯryl/,ṯryl,PN,ṯryl,
156772,umy,um/+y,ủm,n. f. sg.,mother,
# KTU 2.16 3,,,,,,
156773,rgm,!!rgm[,/r-g-m/,vb G suffc. / vb G impv.,to say,
# KTU 2.16 4,,,,,,
156774,yšlm,!y!šlm[,/š-l-m/,vb G prefc.,to be well,
156775,lk,l(I)+k,l (I),prep.,to,
      il/~y, 'gods of'
# KTU 2.16 5,,,,,,
156777,ugrt,ugrt/,ủgrt,TN,Ugarit,
156778,tġrk,!t!(nġr[+k,/n-ġ-r/,vb G Jussive.,to protect,
# KTU 2.16 6,,,,,,
156779,tšlmk,!t!šlm[+k:d,/š-l-m/,vb D suffc. Jussive,to be well,
156780,umy,um/+y,ủm,n. f. sg.,mother,
# KTU 2.16 7,,,,,,
156781,tdˤ,!t==!(ydʕ(I)[,/y-d-ʕ/ (I),vb G prefc.,to know,
156782,ky,k(IV)~y,k (IV),adv.,thus,
156783,ˤrbt,ʕrb(I)[t,/ʕ-r-b/ (I),vb G suffc.,to enter,
# KTU 2.16 8,,,,,,
156784,l,l(I),l (I),prep.,to,
156785,pn,pn(m/,pnm,n. m. pl. tant.,in front,
156786,špš,špš/,špš,n. sg.,sun,
# KTU 2.16 9,,,,,,
156787,w,w,w,conj.,and,
156788,pn,pn(m/,pnm,n. m. pl. tant. pl.,face,
156789,špš,špš/,špš,n. sg.,sun,
156790,nr,nr[,/n-r/,vb G suffc.,to shine,
# KTU 2.16 10,,,,,,
156791,by,b+y,b,prep.,in,
156792,mid,mỉd/ mud/,n. m. sg.,abundance,
156793,w,w,w,conj.,and,
156794,um,um/,ủm,n. f. sg.,mother,
# KTU 2.16 11,,,,,,
156795,tšmḫ,!t!šmḫ[:d,/š-m-ḫ/,vb D prefc.,to be glad,
156795,tšmḫ,!t!šmḫ[,/š-m-ḫ/,vb D prefc.,to be glad
156796,mab,mab/,mảb,PN,PN,
156796,mab, ma(b&d/
# KTU 2.16 12,,,,,,
156797,w,w,w,conj.,and,
156798,al,al(I),ảl (I),neg. functor,no,
156799,twḥln,!t!wḥl[~n,/y/w-ḥ-l/,vb G prefc.,to be worried,
156799, twḥln, !t!](n]&w(yḥl[~n
# KTU 2.16 13,,,,,,
156800,ˤtn, ˤ(nt~n, ˤnt(II),ʕnt (II),adv.,now,
156801,ḫrd,ḫrd/,ḫrd,n. m. sg. / n. m. pl. cstr.,(royal) guard,
156802,ank,ank,ảnk,pers. pn.,I,
# KTU 2.16 14,,,,,,
156803,ˤmny,ˤm(I)~n+y,ʕm (I),prep.,to me,
156804,šlm,šlm(I)/,šlm (I),n. m. sg.,peace,
# KTU 2.16 15,,,,,,
156805,kll,kll/,kll,n. m. sg.,totality,
# KTU 2.16 16,,,,,,
156806,w,w,w,conj.,and,
156807,mnm,mnm,mnm,indef. pn.,any(thing),
# KTU 2.16 17,,,,,,
156808,šlm,šlm(I)/,šlm (I),n. m. sg.,peace,
156809,ˤm,ˤm(I),ʕm (I),prep.,to,
# KTU 2.16 18,,,,,,
156810,umy,um/+y,ủm,n. f. sg.,mother,
# KTU 2.16 19,,,,,,
156811,ˤmy,ˤm(I)+y,ʕm (I),prep.,to,
156812,tṯṯb,!t!](š&ṯ]ṯb[,/ṯ-b/,vb Š prefc.,to return,
# KTU 2.16 20,,,,,,
156813,rgm,rgm/,rgm,n. m. sg.,word,
