KTU 2.15
id,surface form,morphological parsing,DULAT,POS,gloss,comments
# KTU 2.15 1,,,,,,
156743,gnryn,gnryn/,,PN,?,DULAT: NOT FOUND
# KTU 2.15 2,,,,,,
156744,l,l(I),l (I),prep.,to,
156745,mlkytn,mlkytn/,mlkytn,PN,mlkytn,
# KTU 2.15 3,,,,,,
156746,ḥnny,ḥnn[+y,/ḥ-n-n/,vb SC,to be / appear kind,
156747,l,I (I),l (I),pre,to,DULAT: NOT FOUND
,pn,pn (I),pn (I),n,face,
156748,mlk,mlk(I)/,mlk (I),n. m. sg.,king,
# KTU 2.15 4,,,,,,
156749,šink,šin/+k,šỉn,n. m.,proposal,
156750,itn,!i!(ytn[,/y-t-n/,vb G impf.,to give,
# KTU 2.15 5,,,,,,
156751,rˤy,rˤ/+y,rʕ,n. m. sg.,companion,
156752,šṣa,!!]š]yṣ(ʔ[&a,/y-ṣ-ʔ/,vb G impv.,to go out,
156753,idn,idn/,ỉdn,n. m. sg.,authorisation,
156754,ly,l(I)+y,l (I),prep.,to,
# KTU 2.15 6,,,,,,
156755,l,l(I),l (I),prep.,to,
156756,šmin,šm&in/,,PN,?,DULAT: NOT FOUND
156757,iṯr,(ʔ&iṯrhw/	,ảṯr (III),interr. adv.	,where he (is),
# KTU 2.15 7,,,,,,
156759,p,p(I),p (I),conj. functor,and,
156760,iḫdn,!i!(ʔḫd[n,/ʔ-ḫ-d(/ḏ)/,vb G suffc. Jussive,to collect,
156761,gnryn,gnryn/,?,PN,?,DULAT: NOT FOUND
# KTU 2.15 8,,,,,,
156762,im,im,ỉm,conj.,if,
156763,mlkytn,mlkytn/,mlkytn,PN,mlkytn,
156764,yrgm,!y!rgm[:pass,/r-g-m/,vb Gpass prefc.,to say,
# KTU 2.15 9,,,,,,
156765,aḫnnn,!(ʔ&a!ḫnn[n:d,/ḫ-n-n/,vb D prefc. / vb D suffc.,,
# KTU 2.15 10,,,,,,
156766,w,w,w,conj.,and,
156767,iḫd,!i!(ʔḫd[,/ʔ-ḫ-d(/ḏ)/,vb G prefc.,to collect,
