KTU 2.38
id,surface form,morphological parsing,DULAT,POS,gloss,comments
# KTU 2.38 1,,,,,,
157850,l,l(I),l (I),prep.,to,
157851,mlk,mlk(I)/,mlk (I),n. m. sg.,king,
157852,ugrt,ugrt/,ủgrt,TN,Ugarit,
# KTU 2.38 2,,,,,,
157853,aḫy,aḫ(I)/+y,ảḫ (I),n. m.,brother (by blood),
157854,rgm,!!rgm[,/r-g-m/,vb G impv.,to say,
# KTU 2.38 3,,,,,,
157855,tḥm,tḥm/,tḥm,n. m. sg.,message,
157856,mlk,mlk(I)/,mlk(I),n. m. sg.,king,
157857,ṣr,ṣr/,ṣr,TN,Tyre,
157858,aḫk,aḫ(I)/+k,ảḫ (I),n. m.,brother (by blood),
# KTU 2.38 4,,,,,,
157859,yšlm,!y!šlm[,/š-l-m/,vb G prefc.,to be well,
157860,lk,l(I)+k,l (I),prep.,to,
157861,ilm,il(I)/m,ỉl (I),n. m. pl.,god,
# KTU 2.38 5,,,,,,
157862,tġrk,!t!nġr[k,/n-ġ-r/,vb G suffc.,to protect,
157863,tšlmk,!t!šlm[k:d,/š-l-m/,vb D suffc.,to be well,
# KTU 2.38 6,,,,,,
157864,hnny,hnny,hnny,adv.,here,
157865,ˤmn,ˤm(I)+n,ʕm (I),prep.,with me,
# KTU 2.38 7,,,,,,
157866,šlm,šlm(I)/,šlm (I),n. m. sg.,peace,
157867,ṯmny,ṯm,ṯm,adv.,there,
# KTU 2.38 8,,,,,,
157868,ˤmk,ˤm(I)/+k,ʕm (I),n. m. sg.,With you,
157869,mnm,mnm,mnm,indef. pn.,any(thing),
157870,šlm,šlm(I)/,šlm (I),n. m. sg.,peace,
# KTU 2.38 9,,,,,,
157871,rgm,rgm/,rgm,n. m. sg.,word,
157872,ṯṯb,!!](š&ṯ]ṯb[,/ṯ-b/,vb Š impv.,to return,
# KTU 2.38 10,,,,,,
157873,anykn,any/+kn,ảny(t),n. f.,ship,
157874,dt,d,d,det. or rel. functor,the one(s) of,
# KTU 2.38 11,,,,,,
157875,likt,l(ʔ&ik[t,/l-ʔ-k/,vb G suffc.,to send (a message),
157876,mṣrm,mṣrm/,mṣrm,TN ( Maybe Directive/Lative),Egypt,
# KTU 2.38 12,,,,,,
157877,hndt,hnd,hnd,dem. adj./pn.,these,
157878,b,b,b,prep.,in,
157879,ṣr,ṣr/,ṣr,TN,Tyre,
# KTU 2.38 13,,,,,,
157880,tmtt,tmt(t/,tmtt,n. f. sg.,group of men,
157881,by,b (I)+y,b (I),prep.,in,DULAT: NOT FOUND
# KTU 2.38 14,,,,,,
157882,gšm,gšm/,gšm,n. m. sg.,rain,
157883,adr,adr(I)/,ảdr (I),adj. m. or n. m. sg.,strong,
# KTU 2.38 15,,,,,,
157884,nškḥ,!n!škḥ[,/š-k-ḥ/,N-stem perf,found themselves,DULAT: NOT FOUND
157885,w,w,w,conj.,and,
# KTU 2.38 16,,,,,,
157886,rb,rb(II)/,rb (II),n. m. sg.,chief,
157887,tmtt,tmt(t/,tmtt,n. f. sg.,group of men,
# KTU 2.38 17,,,,,,
157888,lqḥ,lqḥ[,/l-q-ḥ/,vb G suffc.,to get hold of,
157890,ḏrˤ,ḏrˤ(I)/,ḏrʕ (I),n. f.,cargo,
# KTU 2.38 18,,,,,,
157891,b,b,b,prep.,in,
157892,dnhm,dn(II)/+hm,dn (II),n. m. pl.,vessel,
157893,w,w,w,conj.,and,
157894,ank,ank,ảnk,pers. pn.,I,
# KTU 2.38 19,,,,,,
157895,kl,kl/,kl,n. m. sg.,totality (of),
157896,ḏrˤhm,ḏrˤ/+hm,d/ḏrʕ,n. m.,cargo,
# KTU 2.38 20,,,,,,
157897,kl,kl/,kl,n. m. sg.,totality (of),
157898,npš,npš(I)/,npš (I),n. f. sg.,people,
# KTU 2.38 21,,,,,,
157899,klklhm,klkl/,klkl,n. m. sg.,anybody,
157900,bd,b,b,prep.,in,
# KTU 2.38 22,,,,,,
157901,rb,rb(II)/,rb (II),n. m. sg.,chief,
157902,tmtt,tmt(t/t,tmtt,n. f. sg.,group of men,
157903,lqḥt,lqḥ[t,/l-q-ḥ/,vb G suffc.,to get hold of,
# KTU 2.38 23,,,,,,
157904,w,w,w,conj.,and,
157905,ṯṯb,]š]ṯb[,/ṯ-b/,vb Š perfect.,to return,
157906,ank,ank,ảnk,pers. pn.,I,
157907,lhm,l(I)+hm,l (I),prep.,to,
# KTU 2.38 24,,,,,,
157908,w,w,w,conj.,and,
157909,anyk,any/+k,ảny(t),n. f.,ship,
157910,ṯt,ṯt[,,,lodged ,
# KTU 2.38 25,,,,,,
157911,by,b,b,prep.,in,
157912,ˤky,ˤky(I)/,ʕky (I),TN,Akko,
157913,ˤryt,ˤry[t,/ʕ-r-y/,vb G suffc.,stripped,
# KTU 2.38 26,,,,,,
157914,w,w,w,conj.,and,
157915,aḫy,aḫ(I)/+y,ảḫ (I),n. m.,brother (by blood),
157916,mhk,mhk,mhk(m),indef. pn.,anything,
# KTU 2.38 27,,,,,,
157917,b,b,b,prep.,in,
157918,lbh,lb/+h,lb,n. m.,heart,
157919,al,al(I),ảl (I),neg. functor,no,
157920,yšt,!y!št[,/š-t/,vb G prefc.,to leave (to worry),
