KTU 2.13
id,surface form,morphological parsing,DULAT,POS,gloss,comments
# KTU 2.13 1,,,,,,
156654,l,l(I),l (I),prep.,to,
156655,mlkt,mlk(t/t,mlkt,n. f. sg.,queen,
# KTU 2.13 2,,,,,,
156656,adtumy,ad(t/t,ảdt ,N ,lady,DULAT: NOT FOUND
,,ủmy/+y,ủm,n f,mother,
156657,rgm,!!rgm[,/r-g-m/,vb G impv.,to say,
# KTU 2.13 3,,,,,,
156658,tḥm,tḥm/,tḥm,n. m. sg.,message,
156659,mlk,mlk(I)/,mlk (I),n. m. sg.,king,
# KTU 2.13 4,,,,,,
156660,bnk,bn(I)/+k,bn (I),n. m.,son,
# KTU 2.13 5,,,,,,
156661,l,l(I),l (I),prep.,to,
156662,pˤn,pˤn/,pʕn,n. f.,at the feet of,
156663,umy,um/+y,ủm,n. f. sg.,mother,
# KTU 2.13 6,,,,,,
156664,qlt,ql[t,/q-l/,vb G suffc.,to fall (down),
156665,l,l(I),l (I),prep.,to,
156666,umy,um/+y,ủm,n. f. sg.,mother,
# KTU 2.13 7,,,,,,
156667,yšlm,!y!šlm[,/š-l-m/,vb G prefc.,to be well,
156668,ilm,il(I)/m,ỉl (I),n. m. pl.,god,
# KTU 2.13 8,,,,,,
156669,tġrk,!t!(nġr[+k,/n-ġ-r/,vb G prefc.,to protect,
156670,tšlmk,!t!šlm[+k:d,/š-l-m/,vb D suffc.,to be well,
# KTU 2.13 9,,,,,,
156671,hlnky,hl~n~k+y,hl,adverb,"Here, Look (demonstrative)",DULAT: NOT FOUND
156672,ˤmny,ˤm(I)~n+y,ʕm (I),prep.,With me,
# KTU 2.13 10,,,,,,
156673,kll,kll/,kll,n. m. sg.,everything,
156674,šlm,šlm(I)/,šlm (I),n. m. sg.,"peace, well",
# KTU 2.13 11,,,,,,
156675,ṯmny,ṯm~n+y,ṯm,adv.,there,
156676,ˤm,ˤm(I),ʕm (I),prep.,with,
156677,umy,um/+y,ủm,n. f. sg.,mother,
# KTU 2.13 12,,,,,,
156678,mnm,mnm,mnm,indef. pn.,whatever,
156679,šlm,šlm(I)/,šlm (I),n. m. sg.,peace,
# KTU 2.13 13,,,,,,
156680,w,w,w,conj.,and,
156681,rgm,rgm/,rgm,n. m. sg.,word,
156682,ṯṯb,!!](š&ṯ]ṯb[,/ṯ-b/,vb Š impv.,to return,
156683,ly,l(I)+y,l (I),prep.,to,
# KTU 2.13 14,,,,,,
156684,bm,b,b,prep.,in,
156685,ṯyndr,ṯyndr/, PN ,DULAT: NOT FOUND
# KTU 2.13 15,,,,,,
156686,iṯt,iṯ[t,ỉṯ,v ,"I am; (my) presence, existence ",
156687,ˤmn,ˤm(I)~n,ʕm (I),prep.,with our,
156688,mlkt,mlk(t/t,mlkt,n. f. sg.,queen,
# KTU 2.13 16,,,,,,
156689,w,w,w,conj.,and,
156690,rgmy,rgm/+y,rgm,n. m. pl.,word,
156691,l,l(III),l (III),,certainly,
# KTU 2.13 17,,,,,,
156692,[[qḥ]]lqt,lq(ḥ[t,lqḥ,vb G suffc.,to take or accept,DULAT: NOT FOUND
156693,w,w,w,conj.,and,
156694,pn,pn(m/,pnm,n. m. pl. tant. pl.,face,
# KTU 2.13 18,,,,,,
156695,mlk,mlk(I)/,mlk (I),n. m. sg.,king,
156696,nr,nr[,/n-r/,vb G suffc.,to shine,
156697,bn,b+n,b,prep.,in us or upon us,
