id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.165 1						
146260	x	?	?	?	?	
# KTU 1.165 2						
146261	xx	?	?	?	?	
146262	ršp	ršp/	ršp	DN sg. abs. nom.	Rašap	
146263	w	w	w	conj.	and	
146264	l	l(I)	l (I)	prep.	to	
146265	ll	ll(I)/	ll (I)	n. m. sg. abs. gen.	night	
# KTU 1.165 3						
146266	w	w	w	conj.	and	
146267	ršp	ršp/	ršp	DN sg. cstr. nom.	Rašap	
146268	gn	gn(I)/	gn (I)	n. m. sg. abs. gen.	2) “garden”	
146269	yṣan	yṣ(ʔ&a[n	/y-ṣ-ʔ/	vb G prefc.	to go out, appear	
146269	yṣan	yṣ(ʔ&a[+n	/y-ṣ-ʔ/	vb G prefc.	to go out, appear	
