id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.138 1						
145635	b	b	b	prep.	in	
145636	yrḫ	yrḫ/	yrḫ	DN m. sg. cstr. gen.	Yariḫu/Yarikh	
145636	yrḫ	yrḫ/	yrḫ	n. m. sg. cstr. gen.	moon	
145637	nql	nql/	nql	MN sg. cstr. gen.		
# KTU 1.138 2						
145638	ilib	ilib(I)/	ỉlỉb (I)	DN sg. cstr. gen.	father god	
145639	gdlt	gdl(t(I)/t	gdlt (I)	n. f. sg. cstr. gen.	head of cattle	
145639	gdlt	gdl(t(I)/t=	gdlt (I)	n. f. pl. cstr. gen.	head of cattle	
# KTU 1.138 3						
145640	py	p(III)/+y	p (III)	n. m. cstr. gen.	mouth	
145641	ṯn	ṯn(I)/	ṯn (I)	num.	two	
145642		?	?	?	?	
# KTU 1.138 4						
145643	šrp	šrp/	šrp	n. m. sg. abs. nom.	burnt sacrifice	
145644	wšlmm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.138 5						
145645	gdlt	gdl(t(I)/t	gdlt (I)	n. f. sg. cstr. nom.	head of cattle	
145645	gdlt	gdl(t(I)/t=	gdlt (I)	n. f. pl. cstr. nom.	head of cattle	
# KTU 1.138 6						
145646	šlmm	šlm(II)/~m	šlm (II)	n. m. sg. abs. gen.	communion victim / sacrifice	
145646	šlmm	šlm(II)/~m	šlm (II)	n. m. pl. abs. gen.	communion victim / sacrifice	
145646	šlmm	šlm(II)/m	šlm (II)	n. m. pl. abs. gen.	communion victim / sacrifice	
