id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.97 1						
151133	l	l(I)	l (I)	prep.	to	
151134	mlk	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	
151135	bˤly	bˤl(II)/+y	bʕl (II)	n. m. cstr. gen.	lord	
# KTU 2.97 2						
151136	rgm	!!rgm[	/r-g-m/	vb G impv. 2	to say, tell, announce, communicate, inform	
151137	tḥm	tḥm/	tḥm	n. m. sg. cstr. nom.	message	
# KTU 2.97 3						
151138	ˤzn	ˤz(II)/+n	ʕz (II)	n. m. cstr. gen.	caprine animal	
151139	ˤbdk	ˤbd(I)/+k	ʕbd (I)	n. m. du. cstr. nom.	servant	
# KTU 2.97 4						
151140	l	l(I)	l (I)	prep.	to	
151141	pˤn	pˤn/	pʕn	n. f. cstr. gen.	at the feet of	
151142	bˤly	bˤl(II)/+y	bʕl (II)	n. m. cstr. gen.	lord	
# KTU 2.97 5						
151143	ṯnid	ṯnid	ṯnỉd	adv.	twice	
151144	šbˤd	šbˤd	šbʕ(ỉ)d	adv.	seven times	
# KTU 2.97 6						
151145	mrḥqtm	mrḥqt/~m	mrḥqt	n. f. abs. nom. sg.	distance	
151146	qlt	ql[t	/q-l/	vb G suffc. 1 c. sg.	to fall (down)	
# KTU 2.97 7						
151147	ly	l(I)+y	l (I)	prep.	1) prep. of direction a) allative	
151148	bˤly	bˤl(II)/+y	bʕl (II)	n. m. cstr. nom.	lord	
151149	yšlm	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg.	to be well, do well, be in peace	DULAT quote in /š-l-m/ (cue: well)
# KTU 2.97 8						
151150	x	?	?	?	?	
# KTU 2.97 9						
151151	k	+k	-k (I)			
151151	k	~k	-k (II)			
151151	k	k(III)	k (III)	Subordinating or completive functor	when	
151151	k	k(I)	k (I)	prep.	like	
151151	k	k(II)	k (II)	emph. functor	yes	
151152	tšbt	?	?	?	?	DULAT: NOT FOUND
151153	w	w	w	conj.	and	
151154		?	?	?	?	
# KTU 2.97 10						
151155	khnm	khn(I)/m	khn (I)	n. m. pl. abs. nom.	1) priest b) rb khnm high priest	
151156	l	l(I)	l (I)	prep.	to	
151157	pnh	pn(m/+h	pnm	n. m. pl. tant. cstr. gen.	in front	
# KTU 2.97 11						
151158	w	w	w	conj.	and	
151159	šlmth	šlm(t(II)/t+h	šlmt (II)	n. f. sg. cstr. nom.	compensation	
# KTU 2.97 12						
151160	zn	zn/	zn	n. m. abs. nom.	provider	
151161	w	w	w	conj.	and	
151162	tšx	?	?	?	?	DULAT: NOT FOUND
# KTU 2.97 13						
151163	ly	l(I)+y	l (I)	prep.	11) compound preposition b) with other particles	
151164	mġyh	!!mġy[/h	/m-ġ-y/	vb G inf.	to come, arrive	
# KTU 2.97 14						
151165	w	w	w	conj.	3) in the correlation protasis-apodosis	
151166	iṯ	iṯ(I)/	ỉṯ (I)	n. m. sg. abs. nom.	1) to be	
151167	w	w	w	conj.	3) in the correlation protasis-apodosis	
151168	knt	kn(t/t	knt	n. f. sg. cstr. nom.	continuity	
# KTU 2.97 15						
151169	šlmth	šlm(t(II)/t+h	šlmt (II)	n. f. sg. cstr. gen.	compensation	
151170	ṯmt	ṯm+t	ṯm	adv.	there	
# KTU 2.97 16						
151171	w	w	w	conj.	1) copulative conj.	
151172	ank	ank	ảnk	pers. pn.	1) i b) emph. subj. in VC	
151173	qdšh	qdš(II)/+h	qdš (II)	n. m. cstr. nom.	sanctuary	
151173	qdšh	qdš(I)/+h	qdš (I)	adj. m. cstr. nom.	holy	
# KTU 2.97 17						
151174	mġt	mġ(y[t	/m-ġ-y/	vb G suffc. 1 c. sg.	to come, arrive	
151175	w	w	w	conj.	and	
151176	uryn	uryn(I)/	ủryn (I)	n. m. sg. abs. nom.	Benennung eines hochgestell- ten Funktionärs	
# KTU 2.97 18						
151177	tbˤ	tbˤ[	/t-b-ʕ/	vb G suffc. 3 m. sg.	to go, leave, depart	
151178	uph	up/+h	ủp	TN sg. cstr. nom.	ủp	
# KTU 2.97 19						
151179	w	w	w	conj.	4) declarative and emphatic functor	
151180	ank	ank	ảnk	pers. pn.	I	
# KTU 2.97 20						
151181	aqy	!(ʔ&a!(nqy[	/n-q-y/	vb G prefc. 1 c. sg.	to be pure, free	
151182	l	l(I)	l (I)	prep.	to	
151182	l	l(II)	l (II)	adv.	no	
151182	l	l(III)	l (III)	functor	certainly	
# KTU 2.97 21						
151183	ymġy	!y!mġy[	/m-ġ-y/	vb G prefc. 3 m. sg.	to come, arrive	
