id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.173 1						
146659	xlk	?	?	?	?	DULAT: NOT FOUND
146660	ġdmh	ġdm+h	ġdm	?	?	
# KTU 1.173 2						
146661	x	?	?	?	?	
146662	l	l(I)	l (I)	prep.	to	
146663	bˤl	bˤl(II)/	bʕl (II)	n. m. pl. abs. gen.	Baʿlu/Baal	
146664	ġdm	ġdm	ġdm	?	?	
# KTU 1.173 3						
146665	xld	?	?	?	?	DULAT: NOT FOUND
146666	alp	alp(I)/	ảlp (I)	n. m. sg. cstr. nom.	(head of) cattle	
146666	alp	alp(I)/	ảlp (I)	n. m. sg. abs. nom.	(head of) cattle	
146666	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
146667	wš	?	?	?	?	DULAT: NOT FOUND
146668	l	l(I)	l (I)	prep.	to	
146669	bˤl	bˤl(II)/	bʕl (II)	n. m. pl. abs. gen.	Baʿlu/Baal	
# KTU 1.173 4						
146670	x	?	?	?	?	
146671	š	š/	š	n. m. sg. cstr. nom.	ram	
146672	dgn	dgn(I)/	dgn (I)	n. m. sg. cstr. gen.	grain	
146673	alp	alp(I)/	ảlp (I)	n. m. sg. abs. gen.	(head of) cattle	
146674	w	w	w	conj.	and	
146675	š	š/	š	n. m. sg. cstr. nom.	ram	
# KTU 1.173 5						
146676	p	p(III)/	p (III)	n. m. sg. abs. gen.	mouth	
146677	w	w	w	conj.	and	
146678	š	š/	š	n. m. sg. cstr. nom.	ram	
146679	bˤl	bˤl(II)/	bʕl (II)	DN pl. cstr. gen.	Baʿlu/Baal	
146679	bˤl	bˤl(II)/	bʕl (II)	DN sg. cstr. gen.	Baʿlu/Baal	
146680	ṣpn	ṣpn/	ṣpn	TN/DN sg. abs. gen.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
# KTU 1.173 6						
146681	xx	?	?	?	?	
146682	ṣpn	ṣpn/	ṣpn	TN/DN sg. cstr. nom.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
146683	pdry	pdry/	pdry	DN sg. cstr. gen.	Pidray	
146683	pdry	pdr(I)/+y	pdr (I)	n. m. cstr. gen.	town	
# KTU 1.173 7						
146684		?	?	?	?	
146685	inš	inš/	ỉnš	n. m. sg. abs. gen.	people	
# KTU 1.173 8						
146686	xt	?	?	?	?	DULAT: NOT FOUND
146687	ap	ap(I)	ảp (I)	adv./conj.	also	
146687	ap	ap(II)/	ảp (II)	n. m. sg. abs. nom.	nose	
146688		?	?	?	?	
# KTU 1.173 9						
146689	l	l(I)	l (I)	prep.	to	
146690	r	?	?	?	?	DULAT: NOT FOUND
146691	n	~n	-n (I)	encl. morph.		DULAT: NOT FOUND
146691	n		-n (IV)	vb	him/her/it	DULAT: NOT FOUND
# KTU 1.173 10						
146692	bˤl	bˤl(II)/	bʕl (II)	n. m. pl. cstr. nom.	Baʿlu/Baal	
146692	bˤl	bˤl(II)/	bʕl (II)	n. m. sg. abs. nom.	Baʿlu/Baal	
# KTU 1.173 11						
146693		?	?	?	?	
146694	špqġhm	špqġhm	špqġhm	?		
146695	š	š/	š	n. m. sg. abs. nom.	ram	
146696	m	m	m(h)	pers. pn.	what?	
# KTU 1.173 12						
146697		?	?	?	?	
146698	šlmm	šlm(II)/~m	šlm (II)	n. m. sg. cstr. nom.	communion victim / sacrifice	
146698	šlmm	šlm(II)/~m	šlm (II)	n. m. pl. cstr. nom.	communion victim / sacrifice	
146698	šlmm	šlm(II)/m	šlm (II)	n. m. pl. cstr. nom.	communion victim / sacrifice	
146699	š	š/	š	n. m. sg. cstr. gen.	ram	
146700	ˤnt	ˤn(t(I)/t	ʕnt (I)	DN f. sg. cstr. gen.	ʿAnatu/Anat	
# KTU 1.173 13						
146701		?	?	?	?	
146702	ṯˤ	ṯˤ(II)/	ṯʕ (II)	n. m. sg. cstr. gen.	Hero	
146702	ṯˤ	ṯˤ(I)/	ṯʕ (I)	n. m. sg. cstr. gen.	offering	
146703	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	1) king a) human sovereign in gen	
# KTU 1.173 14						
146704	x	?	?	?	?	
146705	w	w	w	conj.	and	
146706	kll	kll/	kll	n. m. sg. abs. nom.	totality	
# KTU 1.173 15						
146707	ṯlṯm	ṯlṯm/	ṯlṯm	num.	1) the numeral thirty b) ge. syntagms	
146708	pamt	pam(t/t	pảm(t)	n. f. sg. abs. nom.	time	
# KTU 1.173 16						
146709		?	?	?	?	
146710	w	w	w	conj.	and	
146711	ytn	!y!(ytn[	/y-t-n/	vb G prefc. 3 m. sg.	to give, hand over, grant, bestow	
146711	ytn	ytn[	/y-t-n/	vb G suffc. 3 m. sg.	to give, hand over, grant, bestow	
146712	npṣh	npṣ/+h	npṣ	n. m. cstr. nom.	2) clothes	
# KTU 1.173 17						
146713		?	?	?	?	
146714	ṯˤh	ṯˤ(II)/+h	ṯʕ (II)	n. m. cstr. nom.	2) title of the dead and deified kings of Ugarit	
146715	w	w	w	conj.	and	
146716	ḥl	ḥl(II)/	ḥl (II)	adj. m. sg. abs. nom.	desacralised	DULAT quote in ḥl (II) (cue: desacralised)
