# KTU 1.2 I:1							
126315	x	 x                                           	?	?	?	?	
# KTU 1.2 I:2							
126316	k	k	k(III)	k (III)	Subordinating / completive functor	when, if, because, since, as, that	k ṯb 'when he returned' (?); DULAT cites /ṯ-b/ here.
126317	ṯb	ṯb	ṯb[	/ṯ-b/	vb G suffc. 3 m. sg.	to return, turn round, go back, make one’s way, go through	
126318	x	x                                      	?	?	?	?	
# KTU 1.2 I:3							
126319	at	at	at(I)	ảt (I)	pers. pn.	1) you b) emph. subj. in VC	
126320	ypˤt	ypʿt	ypˤ[t=	/y-p-ʕ/	vb G suffc. 2 m. sg.	to go up, rise	
126321	b	b	b	b	prep.	in	
126322	a	a                            	?	?	?	?	
# KTU 1.2 I:4							
126323	aliyn	aliyn	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
126324	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	b a|liyn bˤl (a = anticipation of aliyn at line end).
126325		                               	?	?	?	?	
# KTU 1.2 I:5							
126326	drk	drk	dr/+k	dr	n. m. cstr. gen.	circle	
126327	tk	tk	tk/	tk	n. m. abs. nom.	centre	
126327	tk	tk	tk	tk	prep.	in the midst of	DULAT: tk n. 'centre', also used as prep. (EUPT: Präp.).
126328	ṯmšl	ṯmšl                    	?	?	?	?	
# KTU 1.2 I:6							
126329	b	b	b	b	prep.	in	
126330	rišk	rišk	riš(I)/+k	rỉš (I)	n. m. sg. cstr. gen. + 2 m. sg. suff.	1) head	
126331	aymr	aymr                             	aymr/	ảymr	DN sg. abs. nom.	name of a magic mace	b rišk aymr 'on your head (may) Ayamur (strike)' (DULAT).
# KTU 1.2 I:7							
126332	ṯpṭ	ṯpṭ	ṯpṭ(II)/	ṯpṭ (II)	n. m. sg. cstr. nom.	judge	
126333	nhr	nhr	nhr/	nhr	DN m. sg. abs. gen.	Naharu/“River”/alternative DN of the god ym	
