id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.14 I:1						
141678	l	l(I)				
141679	krt	krt/				
# KTU 1.14 I:2						
141680	xxxx	xxxx				
141681	mlk	mlk(I)/				
# KTU 1.14 I:3						
141682	xxxxxm	xxxxxm				
141683	k	k				
# KTU 1.14 I:4						
141684	xxxxxxˤ	xxxxxxˤ				Token changed from previous version.
# KTU 1.14 I:5						
141685	xxxxm	xxxxm				
141686	il	il(I)/				
141687	xxxxx	xxxxx				
# KTU 1.14 I:6						
141688	xxxd	xxxd				
141689	nhr	nhr/				
141690	umt	um(t/t				
# KTU 1.14 I:7						
141691	krt	krt/				
141692	ˤrwt	ˤrw[t				Token changed from previous version.
141693	bt	bt/				
# KTU 1.14 I:8						
141694	mlk	mlk(I)/				
141695	itdb	(ʔ&i]t](bd&d[				perhaps metathesis of itbd
141696	d	d				
141697	šbˤ	šbˤ(I)/				Token changed from previous version.
# KTU 1.14 I:9						
141698	aḫm	aḫ/m				
141699	lh	l(I)+h				
141700	ṯmnt	ṯmnt/				
141701	bn	bn(I)/				
141702	um	um/				
# KTU 1.14 I:10						
141703	krt	krt/				
141704	ḥtkn	ḥtk(II)/~n				
141705	rš	rš[				
# KTU 1.14 I:11						
141706	krt	krt/				
141707	grdš	grdš[				
141708	mknt	mkn(t/t				
# KTU 1.14 I:12						
141709	aṯt	aṯ(t/t				
141710	ṣdqh	ṣdq/+h				
141711	l	l(III)				or l(IV)
141712	ypq	!y!pq[				or !y!(ypq[ root y-p-q
# KTU 1.14 I:13						
141713	mtrḫt	mtrḫ(t/t				
141714	yšrh	yšr/+h				
# KTU 1.14 I:14						
141715	aṯt	aṯ(t/t				
141716	trḫ	trḫ[				
141717	w	w				
141718	tbˤt	tbˤ[t				Token changed from previous version.
# KTU 1.14 I:15						
141719	ṯt	ṯ(n(t(II)/t				
141720	rum	rum/				other editions read ṯar um
141721	tkn	!t!kn[				
141722	lh	l(I)+h				
# KTU 1.14 I:16						
141723	ṯmṯlṯt	ṯmṯlṯ(t/t				
141724	kṯrm	kṯr/~m(I)				
141725	tmt	!t!mt[				
# KTU 1.14 I:17						
141726	mrbˤt	mrbˤ(t/t				Token changed from previous version.
