# KTU 1.1 II:1						
125888	ḥtkk	ḥtk(I)/+k	ḥtk (I)	n. m. sg. cstr. nom.	ruler > progenitor	
# KTU 1.1 II:19						
125889	qryy	qry[y	/q-r-y/	vb G impv. 2	to meet	
125890	b	b	b	prep.	in	
125891	arṣ	arṣ/	ảrṣ	n. f. sg. cstr. gen.	earth	
125892	mlḥmt	mlḥm(t/t	mlḥmt	n. f. sg. cstr. gen.	war	
125893	št	š(t(II)/t	št (II)	n. f. sg. abs. gen.	raíz	
125894	b	b	b	prep.	in	
125895	ˤp	ˤp(I)/	ʕp (I)	n. m. cstr. gen.	bird	
# KTU 1.1 II:20						
125896	rm	rm(II)/	rm (II)	n. m. sg. cstr. gen.	erection	
125897	ddym	ddy(m/m	ddym	n. m. pl. cstr. gen.	harmony	
125898	sk	sk(I)/	sk (I)	n. m. sg. cstr. gen.	coverlet	
125899	šlm	šlm(I)/	šlm (I)	n. m. sg. abs. gen.	peace	
125900	l	l(I)	l (I)	prep.	to	
125901	kbd	kbd(I)/	kbd (I)	n. cstr. gen.	within	
125902	arṣ	arṣ/	ảrṣ	n. f. sg. cstr. gen.	earth	
# KTU 1.1 II:21						
125903	arbdd	arbdd/	ảrbdd	n. m. sg. abs. gen.	rest	
125904	l	l(I)	l (I)	prep.	to	
125905	kbd	kbd(I)/	kbd (I)	n. cstr. gen.	within	
125906	šdm	šd(I)/m	šd (I)	n. m. pl. abs. gen.	open field	
125907	ḥšk	ḥšk[	/ḥ-š-k/	vb G impv. 2	to seize	
# KTU 1.1 II:22						
125908	ˤṣk	ˤṣ/+k	ʕṣ	n. m. cstr. nom.	tree	
125909	ˤbṣk	ˤbṣ(I)/+k	ʕbṣ (I)	n. m. sg. cstr. nom.	mace	
125910	ˤmy	ˤm(I)+y	ʕm (I)	prep.	to	
125911	pˤnk	pˤn/+k	pʕn	n. f. cstr. nom.	foot	
125912	tlsmn	!t!lsm[n	/l-s-m/	vb G prefc.	to run	
# KTU 1.1 II:23						
