# KTU 1.1 II:1						
126167		?	?	?	?	
# KTU 1.1 IV:17						
126168	at	at(I)	ảt (I)	pers. pn.	1) you b) emph. subj. in VC	
126169	adn	adn(I)/	ảdn (I)	n. m. sg. abs. nom.	1) lord	
126170	tpˤr	!t!pˤr[	/p-ʕ-r/	vb G prefc. 3 f. sg.	to open one’s mouth > to shout	
# KTU 1.1 IV:18						
126171	ank	ank	ảnk	pers. pn.	I	
126172	lṯpn	l(ṭ&ṯpn/	lṭpn	adj. m. sg. abs. nom.	Benevolent	
126173	il	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	
126174	d	d	d	det. or rel. functor	the one(s) of	
126175	pid	pid/	pỉd	n. m. sg. abs. nom.	heart	
# KTU 1.1 IV:19						
126176	ˤl	ˤl(I)	ʕl (I)	prep.	4) relationship of sequence	
126177	ydm	yd(I)/m	yd (I)	n. f. pl. abs. gen.	5) used as a preposition	
126178	pˤrt	pˤr[t	/p-ʕ-r/	vb G suffc. 1 c. sg.	to open one’s mouth > to shout, proclaim > to open the mouth > to gape, yawn, open wide > to open the mouth	
# KTU 1.1 IV:20						
126179	šmk	šm(I)/+k	šm (I)	n. m. cstr. nom.	name	
126180	mdd	mdd(I)/	mdd (I)	n. m. sg. abs. nom.	1) beloved	
126181	il	il(I)/	ỉl (I)	DN m. sg. cstr. nom.	ʾIlu/Ilu/El	
# KTU 1.1 IV:21						
126182	bt	b(t(I)/t	bt (I)	n. f. sg. cstr. nom.	daughter	
126183	kspy	ksp/+y	ksp	n. m. cstr. nom.	1) silver b) items made of silver	
126184	dt	d+t	d	det. or rel. functor	the one(s) of	
# KTU 1.1 IV:22						
126185	bd	b&d	b	prep.	in	
126186	aliyn	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
126187	bˤl	bˤl(II)/	bʕl (II)	DN m. sg. cstr. nom.	Baʿlu/Baal	
# KTU 1.1 IV:23						
126188	kd	kd(I)/	kd (I)	n. f. sg. abs. gen.	jar	
126189	ynaṣn	!y!n(ʔ&aṣ[+n	/n-ʔ-ṣ/	vb G prefc. 3 m. sg.	to despise, insult	
# KTU 1.1 IV:24						
126190	gršnn	grš[+nn	/g-r-š/	vb G impv. 2	to eject, drive out, evict, cast out	
126191	l	l(I)	l (I)	prep.	to	
126192	ksi	ksi/	ks/śủ	n. f. cstr. gen.	seat	
126193	mlkh	mlk(II)/+h	mlk (II)	n. m. cstr. gen.	kingdom (power and territory)	
126194	l	l(I)	l (I)	prep.	to	
126195	nḫt	nḫ(t/t	nḫt	n. f. sg. abs. gen.	divan	
126196	l	l(I)	l (I)	prep.	to	
126197	kḥṯ	kḥṯ/	kḥṯ	n. m. sg. cstr. gen.	throne	
# KTU 1.1 IV:25						
126198	drkth	drk(t/t+h	drkt	n. f. sg. cstr. gen.	rule	
126199	šṣṣ	?	?	?	?	
# KTU 1.1 IV:26						
126200	w	w	w	conj.	and	
126201	hm	hm(II)	hm (II)	conj./interr. functor	2) perhaps …? (interr. functor) b) in compound question	
126202	ap	ap(I)	ảp (I)	adv./conj.	also	
126203	l	l(I)	l (I)	prep.	to	
# KTU 1.1 IV:27						
126204	ymḫṣk	!y!mḫṣ[+k	/m-ḫ-ṣ/	vb G prefc. 3 m. sg.	to wound, beat, crush, kill	
126205	kx	?	?	?	?	
# KTU 1.1 IV:28						
126206	il	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	
126207	dbḥ	dbḥ[/	/d-b-ḥ/	vb G act. ptcpl. m. sg. abs. gen.	to sacrifice	
126208		?	?	?	?	
# KTU 1.1 IV:29						
126209	pˤr	pˤr[	/p-ʕ-r/	vb G suffc. 3 m. sg.	to open one’s mouth > to shout	
126210	bnh	bn(I)/+h	bn (I)	n. m. cstr. nom.	son	
# KTU 1.1 IV:30						
126211	ṭbḫ	ṭbḫ[	/ṭ-b-ḫ/	vb G suffc. 3 m. sg.	to sacrifice, butcher, slaughter	
126212	alpm	alp(I)/m	ảlp (I)	n. m. pl. cstr. nom.	(head of) cattle	
126213	ap	ap(II)/	ảp (II)	n. m. sg. cstr. gen.	nose	
126214	ṣin	ṣin(I)/	ṣỉn (I)	n. f. sg. cstr. gen.	ewe	
126215	šql	šql/	šql	TN sg. cstr. gen.	šql	
# KTU 1.1 IV:31						
126216	ṯrm	ṯr(I)/m	ṯr (I)	n. m. pl. abs. gen.	bull	
126217	w	w	w	conj.	and	
126218	mri	mr(u&i(I)/	mrủ (I)	adj. f. pl. cstr. nom.	fattened	
126219	ilm	il(I)/m	ỉl (I)	n. m. pl. cstr. nom.	god	
126220	ˤglm	ˤgl(I)/+m(I)	ʕgl (I)	n. m. abs. gen.	calf	
126221	dt	d+t	d	det. or rel. functor	the one(s) of	
126222	šnt	šn(t(I)/t	šnt (I)	n. f. sg. cstr. nom.	year	
# KTU 1.1 IV:32						
126223	imr	imr(I)/	ỉmr (I)	n. m. sg. cstr. gen.	lamb	
126224	qmṣ	qmṣ(I)/	qmṣ (I)	n. m. sg. cstr. gen.	heap	
126225	llim	ll(u&i/m	llủ	n. m. pl. abs. gen.	suckling (lamb or kid)	
# KTU 1.1 V:1						
126226	xb	?	?	?	?	
# KTU 1.1 V:2						
126227	w	w	w	conj.	and	
126228	ym	ym(I)/	ym (I)	n. m. sg. cstr. nom.	day	
126229	ymm	ym(I)/m	ym (I)	n. m. pl. abs. gen.	day	
# KTU 1.1 V:3						
126230	yˤtqnymġy	?	?	?	?	
126231	npš	npš(I)/	npš (I)	n. f. sg. cstr. nom.	5) people (coll.)	
# KTU 1.1 V:4						
126232	hd	hd/	hd(d)	DN sg. abs. gen.	Haddu/Hadad	
126233	tngṯnh	!t!ngṯ[:d+nh	/n-g-ṯ/	vb D prefc.	to make one’s way to	
# KTU 1.1 V:5						
126234		?	?	?	?	
126235	b	b	b	prep.	in	
126236	ṣpn	ṣpn/	ṣpn	TN/DN sg. abs. gen.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
# KTU 1.1 V:6						
126237	x	?	?	?	?	
126238	nšb	nšb/	nšb	n. m. sg. abs. nom.	slice	
126239	b	b	b	prep.	in	
126240	ˤn	ˤn(I)/	ʕn (I)	n. f. du. abs. gen.	1) eye c) syntagms	
# KTU 1.1 V:7						
126241	xx	?	?	?	?	
126242	km	km	km	prep./conj./adv.	like	
126243	yˤn	!y!ˤn(y(I)[	/ʕ-n-y/ (I)	vb G prefc. 3 m. sg.	1) to answer	
# KTU 1.1 V:8						
126244	ydˤ	ydˤ[	/y-d-ʕ/ (I)	vb G suffc. 3 m. sg.	to know	
126245	l	l(I)	l (I)	prep.	to	
126246	ydˤt	ydˤ[t===	/y-d-ʕ/ (I)	vb G suffc. 3 f. sg.	to know	
# KTU 1.1 V:9						
126247	k	+k	-k (I)		your(s)	
126248	tasrn	!t!(ʔ&asr[:d+n	/ʔ-s-r/	vb D prefc.	to tie	
# KTU 1.1 V:10						
126249	ṯr	ṯr(I)/	ṯr (I)	n. m. pl. cstr. nom.	bull	
126250	ilk	il(I)/+k	ỉl (I)	n. m. cstr. gen.	god	
126251	trks	!t!rks[	/r-k-s/	vb G prefc. 3 f. sg.	to gird	
# KTU 1.1 V:11						
126252	x	?	?	?	?	
126253	abnm	abn/m	ảbn	n. f. pl. cstr. nom.	1) stone b) types	
126254	upqt	upq(t/t	ủpqt	n. f. sg. abs. gen.	bed of a torrent	
# KTU 1.1 V:12						
126255	l	l(I)	l (I)	prep.	to	
126256	w	w	w	conj.	and	
126257	ġr	ġr(I)/	ġr (I)	n. m. sg. cstr. nom.	2) DN “Mountain(s)”	
126258	mtny	mtn(II)/+y	mtn (II)	n. m. sg. cstr. gen.	gift	
# KTU 1.1 V:13						
126259	at	at(I)	ảt (I)	pers. pn.	you	
126260	zdrq	?	?	?	?	
126261	gb	gb(I)/	gb (I)	n. m. sg. cstr. nom.	pit	
# KTU 1.1 V:14						
126262	kl	kl/	kl	n. m. sg. abs. gen.	totality (of)	
126263	tġr	!t!(nġr[	/n-ġ-r/	vb G prefc.	to protect	
126264	mtnh	mtn(II)/+h	mtn (II)	n. m. sg. cstr. nom.	gift	
# KTU 1.1 V:15						
126265	b	b	b	prep.	in	
126266	w	w	w	conj.	and	
126267	ym	ym(I)/	ym (I)	n. m. sg. cstr. nom.	1) day b) as a period in time	
126268	ymm	ym(I)/m	ym (I)	n. m. pl. abs. gen.	1) day b) as a period in time	
# KTU 1.1 V:16						
126269	yˤtqnyrḫ	?	?	?	?	
126270	ymġy	!y!mġy[	/m-ġ-y/	vb G prefc. 3 m. sg.	to come, arrive	
126271	npš	npš(I)/	npš (I)	n. f. sg. abs. nom.	throat	
# KTU 1.1 V:17						
126272	ġ	?	?	?	?	
126273	hd	hd/	hd(d)	DN sg. abs. nom.	Haddu/Hadad	
126274	tngṯnh	!t!ngṯ[:d+nh	/n-g-ṯ/	vb D prefc.	to make one’s way to	
# KTU 1.1 V:18						
126275	ḥmk	ḥm/+k	ḥm	n. m. cstr. nom.	heat	
126276	b	b	b	prep.	in	
126277	ṣpn	ṣpn/	ṣpn	TN/DN sg. abs. gen.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
# KTU 1.1 V:19						
126278	x	?	?	?	?	
126279	išqb	?	?	?	?	
126280	aylt	ayl(t(I)/t	ảylt (I)	n. f. sg. abs. nom.	hind	
# KTU 1.1 V:20						
126281		?	?	?	?	
126282	mbkm	mbk/m	mbk	n. m. pl. abs. gen.	source	
126283	yˤn	!y!ˤn(y(I)[	/ʕ-n-y/ (I)	vb G prefc. 3 m. sg.	to answer	
# KTU 1.1 V:21						
126284		?	?	?	?	
126285	ydˤ	ydˤ[	/y-d-ʕ/ (I)	vb G suffc. 3 m. sg.	to know	
126286	l	l(II)	l (II)	adv.	no	
126287	ydˤt	ydˤ[t===	/y-d-ʕ/ (I)	vb G suffc. 3 f. sg.	to know	
# KTU 1.1 V:22						
126288	tasrn	!t!(ʔ&asr[:d+n	/ʔ-s-r/	vb D prefc.	to tie	
126289	ṯr	ṯr(I)/	ṯr (I)	n. m. sg. cstr. nom.	bull	
126290	il	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
# KTU 1.1 V:23						
126291	trks	!t!rks[	/r-k-s/	vb G prefc. 3 f. sg.	to gird, tie	
126292	bn	bn(II)	bn (II)	prep.	between	
126293	abnm	abn/m	ảbn	n. f. pl. cstr. gen.	1) stone b) types	
# KTU 1.1 V:24						
126294	upqt	upq(t/t	ủpqt	n. f. sg. abs. gen.	bed of a torrent	
126295	ˤrb	ˤrb[	/ʕ-r-b/ (I)	vb G suffc. 3 m. sg.	1) to cause to enter	
# KTU 1.1 V:25						
126296	w	w	w	conj.	and	
126297	ġr	ġr(I)/	ġr (I)	n. m. sg. cstr. nom.	mountain	
126298	mtny	mtny/	mtny	GN sg. abs. gen.	mtny	
126299	at	at(I)	ảt (I)	pers. pn.	you	
126300	zd	(ṯ&zd/	ṯd	n. m. abs. nom.	breast	
# KTU 1.1 V:26						
126301		?	?	?	?	
126302	tˤrb	!t!ˤrb[	/ʕ-r-b/ (I)	vb G prefc. 3 f. sg.	1) to cause to enter	
126303	b	b	b	prep.	in	
126304	ši	?	?	?	?	
# KTU 1.1 V:27						
126305	t	?	?	?	?	Broken/uncertain single sign.
126306	l	l(III)	l (III)	functor	certainly	
126307	tzd	!t!zd[	/z-d/	vb G prefc.	to boil, become inflamed, yearn for	
126308	l	l(III)	l (III)	functor	certainly	
126309	tptq	!t!p]t]q[	/p-q/	vb Gt prefc.	to procure for oneself	
# KTU 1.1 V:28						
126310		?	?	?	?	
126311	gbh	gb(II)/+h	gb (II)	n. m. sg. cstr. nom.	1) spine	
126312	l	l(I)	l (I)	prep.	to	
126313	arṣ	arṣ/	ảrṣ	n. f. sg. abs. gen.	earth	
# KTU 1.1 V:29						
126314	xxxxxx	?	?	?	?	
