id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.134 1						
175526	alp	alp(I)/	ảlp (I)	n. m. sg. cstr. nom.	(head of) cattle	
175526	alp	alp(I)/	ảlp (I)	n. m. sg. abs. nom.	(head of) cattle	
175526	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
175527	w	w	w	conj.	and	
# KTU 1.134 2						
175528	alp	alp(I)/	ảlp (I)	n. m. sg. cstr. nom.	(head of) cattle	
175528	alp	alp(I)/	ảlp (I)	n. m. sg. abs. nom.	(head of) cattle	
175528	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
175529	w	w	w	conj.	and	
175530	š	š/	š	n. m. sg. cstr. nom.	ram	
175531	šrp	šrp/	šrp	n. m. sg. cstr. gen.	1) burnt sacrifice	
# KTU 1.134 3						
175532	ršp	ršp/	ršp	DN sg. cstr. gen.	Rašap	
175533	ḥgb	ḥgb/	ḥgb	n. m. sg. cstr. gen.	locust	
# KTU 1.134 4						
175534	inš	inš/	ỉnš	n. m. sg. cstr. gen.	people	
175535	ilm	il(I)/m	ỉl (I)	n. m. pl. cstr. gen.	god	
# KTU 1.134 5						
175536	ṯlṯ	ṯlṯ(V)/	ṯlṯ (V)	n. m. sg. abs. gen.	copper	
# KTU 1.134 6						
175537	xx	?	?	?	?	
# KTU 1.134 7						
175538	x	?	?	?	?	
175539	š	š/	š	n. m. sg. abs. nom.	ram	
175540		?	?	?	?	
# KTU 1.134 8						
175541	l	l(I)	l (I)	prep.	to	
175542	bˤl	bˤl(II)/	bʕl (II)	n. m. pl. cstr. gen.	Baʿlu/Baal	
175543	ḫlb	ḫlb(I)/	ḫlb (I)	n. m. sg. abs. gen.	massif	
# KTU 1.134 9						
175544	l	l(I)	l (I)	prep.	to	
175545	pdry	pdry/	pdry	DN sg. abs. gen.	Pidray	
175545	pdry	pdr(I)/+y	pdr (I)	n. m. cstr. gen.	town	
# KTU 1.134 10						
175546	xš	?	?	?	?	DULAT: NOT FOUND
# KTU 1.134 11						
175547	š	š/	š	n. m. sg. abs. nom.	ram	
175548	l	l(I)	l (I)	prep.	to	
175549	ḏx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.134 12						
175550	arṣy	arṣ/+y	ảrṣ	n. f. cstr. nom.	earth	
175550	arṣy	arṣy/	ảrṣy	DN sg. cstr. nom.	Arṣay/Arsay	
175551	npš	npš(I)/	npš (I)	n. f. sg. abs. gen.	throat	
