id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.43 1						
158206	x	?	?	?	?	
# KTU 2.43 2						
158207	mḫ	mḫ[	/m-ḫ/	vb G suffc.	to feel exuberant	
158207	mḫ	mḫ/	mḫ	n. m. sg.	marrow	
# KTU 2.43 3						
158208	xr	?	?	?	?	DULAT: NOT FOUND
158209	tbˤ	tbˤ[	/t-b-ʕ/	vb G suffc.	to go	
# KTU 2.43 4						
158210	mlk	mlk[/	/m-l-k/	vb G act. ptcpl.	to reign	
158210	mlk	mlk(II)/	mlk (II)	n. m. sg.	kingdom (power and territory)	
158211	ˤm	ˤm(I)	ʕm (I)	prep.	to	
# KTU 2.43 5						
158212	ykn	!y!kn[	/k-n/	vb G prefc.	to be (stable)	
# KTU 2.43 6						
158213	x	?	?	?	?	
