id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.71 1						
169967	spr	spr(II)/	spr (II)	n. m. sg. cstr. nom.	tablet / register	
169967	spr	spr(I)/	spr (I)	n. m. sg. cstr. nom.	scribe	
169968	nˤm	nˤm(II)/	nʕm (II)	n. m. sg. cstr. gen.	grace	
169969	śśwm	śśwm/	s:śs/św	n. f. du. abs. gen.	horse	
169969	śśwm	śśwm/	s:śs/św	n. f. pl. abs. gen.	horse	
# KTU 1.71 2						
169970	xxxxxxxw	?	?	?	?	DULAT: NOT FOUND
169971	xxxxxxx	?	?	?	?	
# KTU 1.71 3						
169972	xxxxxxśś	?	?	?	?	DULAT: NOT FOUND
169973	xxxxxxxxx	?	?	?	?	
# KTU 1.71 4						
169974	xxxxxxx	?	?	?	?	
169975	w	w	w	conj.	and	
169976	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
169976	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out)	
169977	b	b	b	prep.	in	
169978	aph	ap(I)+h	ảp (I)	adv./conj.	also	
169978	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
# KTU 1.71 5						
169979	k	+k	-k (I)			
169979	k	~k	-k (II)			
169979	k	k(III)	k (III)	Subordinating or completive functor	when	
169979	k	k(I)	k (I)	prep.	like	
169979	k	k(II)	k (II)	emph. functor	yes	
169980	ḫr	ḫr(I)/	ḫr (I)	n. m. sg. cstr. nom.	cave	
169981	śśw	śśw/	s:śs/św	n. m. sg. cstr. gen.	horse	
169982	mġmġ	mġmġ/	mġmġ	n. m. sg. abs. gen.		
169983	w	w	w	conj.	and	
169984	bṣql	bṣql/	bṣql	n. m. sg. cstr. nom.	sprout	
169985	ˤrgz	ˤrgz(I)/	ʕrgz (I)	n. m. sg. cstr. gen.	juniper berries (?)	
# KTU 1.71 6						
169986	ydk	yd(I)/+k	yd (I)	n. f. cstr. gen.	hand	
169986	ydk	yd(I)/+k=	yd (I)	n. f. cstr. gen.	hand	
169986	ydk	yd(II)/+k	yd (II)	n. m. cstr. gen.	love	
169986	ydk	yd(II)/+k=	yd (II)	n. m. cstr. gen.	love	
169987	aḥdh	aḥd/+h	ảḥd	adj. cstr. nom.	one	
169988	w	w	w	conj.	and	
169989	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out), serve	
169989	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out), serve	
169990	b	b	b	prep.	in	
169991	aph	ap(I)+h	ảp (I)	adv./conj.	also	
169991	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
# KTU 1.71 7						
169992	k	+k	-k (I)			
169992	k	~k	-k (II)			
169992	k	k(III)	k (III)	Subordinating or completive functor	when	
169992	k	k(I)	k (I)	prep.	like	
169992	k	k(II)	k (II)	emph. functor	yes	
169993	ḫr	ḫr(I)/	ḫr (I)	n. m. sg. abs. nom.	cave	
169994	ššw	?	?	?	?	DULAT: NOT FOUND
169995	ḫndrṯ	ḫndrṯ/	ḫndrṯ	n. m. sg. abs. nom.	apricot tree	
169996	w	w	w	conj.	and	
169997	ṯqd	ṯqd/	ṯqd	n. m. sg. cstr. nom.	almond	
169998	mr	mr(I)/	mr (I)	n. m. sg. cstr. gen.	myrrh	
# KTU 1.71 8						
169999	ydk	yd(I)/+k	yd (I)	n. f. cstr. gen.	hand	
169999	ydk	yd(I)/+k=	yd (I)	n. f. cstr. gen.	hand	
169999	ydk	yd(II)/+k	yd (II)	n. m. cstr. gen.	love	
169999	ydk	yd(II)/+k=	yd (II)	n. m. cstr. gen.	love	
170000	aḥdh	aḥd/+h	ảḥd	adj. cstr. nom.	one	
170001	w	w	w	conj.	and	
170002	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
170002	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out)	
170003	b	b	b	prep.	in	
170004	aph	ap(I)+h	ảp (I)	adv./conj.	also	
170004	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
# KTU 1.71 9						
170005	k	+k	-k (I)			
170005	k	~k	-k (II)			
170005	k	k(III)	k (III)	Subordinating or completive functor	when	
170005	k	k(I)	k (I)	prep.	like	
170005	k	k(II)	k (II)	emph. functor	yes	
170006	l	l(I)	l (I)	prep.	to	
170007	ḫra	?	?	?	?	DULAT: NOT FOUND
170008	w	w	w	conj.	and	
170009	l	l(I)	l (I)	prep.	to	
170009	l	l(II)	l (II)	adv.	no	
170009	l	l(III)	l (III)	functor	certainly	
170010	yṯtn	!y!ṯ]t]n[	/ṯ-n/	vb Gt prefc. 3 m. sg.	to urinate	
170011	mss	mss/	mss	n. m. sg. cstr. nom.	sap	
170012	št	š(t(II)/t	št (II)	n. f. sg. cstr. gen.	raíz	
170012	št	št(I)/	št (I)	n. m. sg. cstr. gen.	base	
170013	qlql	qlql/	qlql	n. m. sg. abs. gen.	cardamome	
# KTU 1.71 10						
170014	w	w	w	conj.	and	
170015	štˤrgz	?	?	?	?	DULAT: NOT FOUND
170016	ydk	yd(I)/+k	yd (I)	n. f. cstr. nom.	hand	
170016	ydk	yd(I)/+k=	yd (I)	n. f. cstr. nom.	hand	
170016	ydk	yd(II)/+k	yd (II)	n. m. cstr. nom.	love	
170016	ydk	yd(II)/+k=	yd (II)	n. m. cstr. nom.	love	
170016	ydk	!y!dk[:pass	d-k(-k)/	vb Gpass prefc. 3 m. sg.	to be pounded	
170016	ydk	!y=!dk[:pass	d-k(-k)/	vb Gpass prefc.	to be pounded	
170017	aḥdh	aḥd/+h	ảḥd	adj. cstr. nom.	2) adv	
170018	w	w	w	conj.	and	
170019	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
170019	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out)	
170020	b	b	b	prep.	in	
170021	aph	ap(I)+h	ảp (I)	adv./conj.	also	
170021	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
# KTU 1.71 11						
170022	k	k(III)	k (III)	Subordinating or completive functor	when	
170023	yiḫd	!y!(ʔ&iḫd[	/ʔ-ḫ-d(/ḏ)/	vb G prefc. 3 m. sg.	to collect	
170023	yiḫd	!y!(ʔ&iḫd[:pass	/ʔ-ḫ-d(/ḏ)/	vb Gpass prefc. 3 m. sg.	to be seized, captured, collected, re- cruited, bloated	
170024	akl	akl(II)/	ảkl (II)	n. m. sg. cstr. nom.	grain	
170025	śśw	śśw/	s:śs/św	n. m. sg. cstr. gen.	horse	
170026	št	š(t(II)/t	št (II)	n. f. sg. cstr. gen.	raíz	
170026	št	št(I)/	št (I)	n. m. sg. cstr. gen.	base	
170027	mkšr	mkšr/	mkšr	n. m. sg. cstr. gen.	semolina	
170028	grn	grn(I)/	grn (I)	n. m. sg. abs. gen.	threshing-floor	
# KTU 1.71 12						
170029	w	w	w	conj.	and	
170030	št	š(t(II)/t	št (II)	n. f. sg. cstr. nom.	raíz	
170030	št	št(I)/	št (I)	n. m. sg. cstr. nom.	base	
170031	aškrr	aškrr/	ảškrr	n. m. sg. abs. gen.	wax	
170032	w	w	w	conj.	and	
170033	pr	pr(I)/	pr (I)	n. m. sg. abs. nom.	fruit	
170033	pr	pr(II)/	pr (II)	n. m. sg. abs. nom.	young bull	
170034	ḥḏrt	?	?	?	?	DULAT: NOT FOUND
# KTU 1.71 13						
170035	ydk	yd(I)/+k	yd (I)	n. f. cstr. nom.	hand	
170035	ydk	yd(I)/+k=	yd (I)	n. f. cstr. nom.	hand	
170035	ydk	yd(II)/+k	yd (II)	n. m. cstr. nom.	love	
170035	ydk	yd(II)/+k=	yd (II)	n. m. cstr. nom.	love	
170035	ydk	!y!dk[:pass	d-k(-k)/	vb Gpass prefc. 3 m. sg.	to be pounded	
170035	ydk	!y=!dk[:pass	d-k(-k)/	vb Gpass prefc.	to be pounded	
170036	w	w	w	conj.	and	
170037	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
170037	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out)	
170038	b	b	b	prep.	in	
170039	aph	ap(I)+h	ảp (I)	adv./conj.	also	
170039	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
# KTU 1.71 14						
170040	xxxxxxxx	?	?	?	?	
170041	śśw	śśw/	s:śs/św	n. m. sg. cstr. nom.	horse	
170042	št	š(t(II)/t	št (II)	n. f. sg. abs. gen.	raíz	
170042	št	št(I)/	št (I)	n. m. sg. abs. gen.	base	
170043	xxx	?	?	?	?	
# KTU 1.71 15						
170044	xxxxxxxxxxxxx	?	?	?	?	
170045	irġn	?	?	?	?	DULAT: NOT FOUND
170046	ḥmr	ḥmr(I)/	ḥmr (I)	n. m. sg. cstr. nom.	donkey	
# KTU 1.71 16						
170047	ydk	yd(I)/+k	yd (I)	n. f. cstr. gen.	hand	
170047	ydk	yd(I)/+k=	yd (I)	n. f. cstr. gen.	hand	
170047	ydk	yd(II)/+k	yd (II)	n. m. cstr. gen.	love	
170047	ydk	yd(II)/+k=	yd (II)	n. m. cstr. gen.	love	
170048	w	w	w	conj.	and	
170049	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
170049	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out)	
170050	b	b	b	prep.	in	
170051	aph	ap(I)+h	ảp (I)	adv./conj.	also	
170051	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
# KTU 1.71 17						
170052	k	k(III)	k (III)	Subordinating or completive functor	when	
170053	yraš	!y!r(ʔ&aš[	/r-ʔ-š/	vb G prefc. 3 m. sg.	to toss the head	
170054	śśw	śśw/	s:śs/św	n. m. sg. cstr. nom.	horse	
170055	št	š(t(II)/t	št (II)	n. f. sg. cstr. gen.	raíz	
170055	št	št(I)/	št (I)	n. m. sg. cstr. gen.	base	
170056	bln	bln/	bln	n. m. sg. cstr. gen.	mixed fodder	
170057	qṭ	qṭ(I)/	qṭ (I)	n. m. sg. cstr. gen.	flax	
170058	ydk	yd(I)/+k	yd (I)	n. f. cstr. gen.	hand	
170058	ydk	yd(I)/+k=	yd (I)	n. f. cstr. gen.	hand	
170058	ydk	yd(II)/+k	yd (II)	n. m. cstr. gen.	love	
170058	ydk	yd(II)/+k=	yd (II)	n. m. cstr. gen.	love	
# KTU 1.71 18						
170059	w	w	w	conj.	and	
170060	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
170060	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out)	
170061	b	b	b	prep.	in	
170062	aph	ap(I)+h	ảp (I)	adv./conj.	also	
170062	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
# KTU 1.71 19						
170063		?	?	?	?	
# KTU 1.71 20						
170064		?	?	?	?	
# KTU 1.71 21						
170065		?	?	?	?	
# KTU 1.71 22						
170066	ˤqrb	ˤqrb/	ʕqrb	n. f. sg. abs. nom.	scorpion	
# KTU 1.71 23						
170067	tmṯl	tmṯl/	tmṯl	n. m. sg. abs. nom.	equal amount	
# KTU 1.71 24						
170068		?	?	?	?	
# KTU 1.71 25						
170069	aḥdh	aḥd/+h	ảḥd	adj. cstr. nom.	2) adv	
170070	w	w	w	conj.	and	
170071	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out)	
170071	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out)	
170072	b	b	b	prep.	in	
170073	aph	ap(I)+h	ảp (I)	adv./conj.	also	
170073	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
# KTU 1.71 26						
170074	k	k(III)	k (III)	Subordinating or completive functor	when	
170075	yraš	!y!r(ʔ&aš[	/r-ʔ-š/	vb G prefc. 3 m. sg.	to toss the head	
170076	w	w	w	conj.	and	
170077	ykhp	!y!khp[	/k-h-p/	vb G prefc. 3 m. sg.	to droop	
170078	mid	mid/	mỉ/ủd	n. m. sg. cstr. nom.	abundance	
# KTU 1.71 27						
170079	dblt	dbl(t/t	dblt	n. f. sg. abs. gen.	1) dried fig a) ltḥ dblt ltḥ ṣmqm a l . of dried figs (and) a l . of raisins	
170079	dblt	dbl(t/t=	dblt	n. f. pl. abs. gen.	1) dried fig a) ltḥ dblt ltḥ ṣmqm a l . of dried figs (and) a l . of raisins	
170080	yṯnt	yṯn/t	yṯn	adj. f. sg. abs. nom.	old	
170081	w	w	w	conj.	and	
170082	ṣmqm	ṣmq/m	ṣmq	n. m. pl. abs. nom.	raisin	
170083	yṯnm	yṯn/m	yṯn	adj. m. pl. abs. nom.	old	
# KTU 1.71 28						
170084	w	w	w	conj.	and	
170085	qmḥ	qmḥ/	qmḥ	n. m. sg. cstr. nom.	flour	
170086	bql	bql/	bql	n. m. sg. abs. gen.	malt	
170087	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G prefc. 3 m. sg.	to pour (out), serve	
170087	yṣq	yṣq[	/y-ṣ-q/	vb G suffc. 3 m. sg.	to pour (out), serve	
170088	aḥdh	aḥd/+h	ảḥd	adj. cstr. nom.	one	
# KTU 1.71 29						
170089	b	b	b	prep.	in	
170090	aph	ap(I)+h	ảp (I)	adv./conj.	also	
170090	aph	ap(II)/+h	ảp (II)	n. m. cstr. gen.	nose	
