id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.39 1						
168168	dqt	dq(t(I)/t	dqt (I)	adj. f. sg. abs. nom.	2) sheep	
168168	dqt	dq(t(I)/t=	dqt (I)	adj. f. pl. abs. nom.	2) sheep	
168169	ṯˤ	ṯˤ(II)/	ṯʕ (II)	n. m. sg. cstr. nom.	2) title of the dead and deified kings of Ugarit	
168170	ynt	yn(t/t	ynt	n. f. sg. cstr. gen.	dove	
168171	ṯˤm	ṯˤ(II)/m	ṯʕ (II)	n. m. pl. abs. gen.	2) title of the dead and deified kings of Ugarit	
168172	dqt	dq(t(I)/t	dqt (I)	adj. f. sg. abs. nom.	2) sheep	
168172	dqt	dq(t(I)/t=	dqt (I)	adj. f. pl. abs. nom.	2) sheep	
168173	ṯˤm	ṯˤ(II)/m	ṯʕ (II)	n. m. pl. cstr. nom.	2) title of the dead and deified kings of Ugarit	
# KTU 1.39 2						
168174	mtntm	mtnt/m	mtnt	n. f. pl. abs. gen.	loin	
168175	w	w	w	conj.	and	
168176	kbd	kbd(II)/	kbd (II)	n. m. sg. cstr. nom.	total (quantity or price)	
168177	alp	alp(I)/	ảlp (I)	n. m. sg. cstr. gen.	1) (head of) cattle d) sacrificial material	
168178	š	š/	š	n. m. sg. abs. gen.	1) ram b) as a sacrificial victim	
168179	l	l(I)	l (I)	prep.	to	
168180	il	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
168180	il	il(I)/	ỉl (I)	n. m. sg. cstr. gen.	2) DN	
# KTU 1.39 3						
168181	gdlt	gdl(t(I)/t	gdlt (I)	n. f. sg. cstr. gen.	head of cattle	
168181	gdlt	gdl(t(I)/t=	gdlt (I)	n. f. pl. cstr. gen.	head of cattle	
168182	ilhm	il(I)/+hm	ỉl (I)	n. m. cstr. gen.	god	
168182	ilhm	il(t&h(I)/+m(I)	ỉlt (I)	n. f. cstr. gen.	goddess	
168182	ilhm	ilh/+m(I)	ỉlh	DN sg. cstr. gen.	the ‘Divine One’	
168183	kṯkmn	?	?	?	?	DULAT: NOT FOUND
168184	w	w	w	conj.	and	
168185	šnm	šnm/	šnm	DN sg. abs. nom.	Šunama/Shunama/second member of the double-barrelled divine name ṯkmn w šnm, origin unknown	
168186	dqt	dq(t(I)/t	dqt (I)	adj. f. sg. abs. nom.	small	
168186	dqt	dq(t(I)/t=	dqt (I)	adj. f. pl. abs. nom.	small	
# KTU 1.39 4						
168187	ršp	ršp/	ršp	DN sg. abs. nom.	Rašap	
168188	dqt	dq(t(I)/t	dqt (I)	adj. f. sg. abs. nom.	small	
168188	dqt	dq(t(I)/t=	dqt (I)	adj. f. pl. abs. nom.	small	
168189	šrp	šrp/	šrp	n. m. sg. abs. nom.	1) burnt sacrifice	
168190	w	w	w	conj.	and	
168191	šlmm	šlm(II)/~m	šlm (II)	n. m. sg. abs. nom.	communion victim / sacrifice	
168191	šlmm	šlm(II)/~m	šlm (II)	n. m. pl. abs. nom.	communion victim / sacrifice	
168191	šlmm	šlm(II)/m	šlm (II)	n. m. pl. abs. nom.	communion victim / sacrifice	
168192	dqtm	dqt(I)/m	dqt (I)	adj. f. pl. abs. nom.	small	
# KTU 1.39 5						
168193	ilh	ilh/	ỉlh	DN sg. cstr. nom.	the ‘Divine One’	
168194	alp	alp(I)/	ảlp (I)	n. m. sg. abs. gen.	(head of) cattle	
168195	w	w	w	conj.	and	
168196	š	š/	š	n. m. sg. cstr. nom.	ram	
168197	ilhm	il(I)/+hm	ỉl (I)	n. m. cstr. gen.	god	
168197	ilhm	il(t&h(I)/+m(I)	ỉlt (I)	n. f. cstr. gen.	goddess	
168197	ilhm	ilh/+m(I)	ỉlh	DN sg. cstr. gen.	the ‘Divine One’	
168198	gdlt	gdl(t(I)/t	gdlt (I)	n. f. sg. abs. nom.	head of cattle	
168198	gdlt	gdl(t(I)/t=	gdlt (I)	n. f. pl. abs. nom.	head of cattle	
168199	ilhm	il(I)/+hm	ỉl (I)	n. m. cstr. nom.	god	
168199	ilhm	il(t&h(I)/+m(I)	ỉlt (I)	n. f. cstr. nom.	goddess	
168199	ilhm	ilh/+m(I)	ỉlh	DN sg. cstr. nom.	the ‘Divine One’	
# KTU 1.39 6						
168200	bˤl	bˤl(II)/	bʕl (II)	n. m. pl. cstr. nom.	Baʿlu/Baal	
168200	bˤl	bˤl(II)/	bʕl (II)	n. m. sg. abs. nom.	Baʿlu/Baal	
168201	š	š/	š	n. m. sg. abs. nom.	ram	
168202	aṯrt	aṯr(t(I)/t	ảṯrt (I)	n. f. sg. abs. nom.	back part (of the head)	
168203	š	š/	š	n. m. sg. abs. nom.	ram	
168204	ṯkmn	ṯkmn/	ṯkmn	DN/element sg. abs. nom.	Ṯukamuna/Thukamuna/first element of the double-barrelled DN ṯkmn w šnm, origin unknown	
168204	ṯkmn	ṯkm/+n	ṯkm	n. m. cstr. nom.	shoulder	
168205	w	w	w	conj.	and	
168206	šnm	šnm/	šnm	DN sg. cstr. nom.	Šunama/Shunama/second member of the double-barrelled divine name ṯkmn w šnm, origin unknown	
168207	š	š/	š	n. m. sg. cstr. gen.	ram	
# KTU 1.39 7						
168208	ˤnt	ˤn(t(I)/t	ʕnt (I)	DN f. sg. cstr. gen.	ʿAnatu/Anat	
168209	š	š/	š	n. m. sg. abs. gen.	ram	
168210	rpšp	?	?	?	?	DULAT: NOT FOUND
168211	š	š/	š	n. m. sg. cstr. nom.	ram	
168212	dr	dr/	dr	n. m. pl. cstr. gen.	1) circle of relatives and friends	
168212	dr	dr/	dr	n. m. sg. cstr. gen.	1) circle of relatives and friends	
168213	il	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
168213	il	il(I)/	ỉl (I)	n. m. sg. abs. gen.	2) DN d) El’s possessions or property (often to be understood as in 1. g)	
168214	w	w	w	conj.	and	
168215	pḫr	pḫr(I)/	pḫr (I)	n. m. sg. cstr. nom.	1) assembly c) group	
