id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.167 1						
176309	br	br/	br(r)	n. m. sg. cstr. nom.	tin	
176309	br	br(I)/	br (I)	n. m. sg. cstr. nom.	Art Seeschiff	
# KTU 1.167 2						
176310	bk	bk/	bk	n. m. sg. cstr. gen.	beaker	
176311	mr	mr(I)/	mr (I)	n. m. sg. abs. gen.	myrrh	
# KTU 1.167 3						
176312	ġsb	?	?	?	?	DULAT: NOT FOUND
176313	ġsb	?	?	?	?	DULAT: NOT FOUND
# KTU 1.167 4						
176314	ttwrb	?	?	?	?	DULAT: NOT FOUND
# KTU 1.167 5						
176315		?	?	?	?	
176316	qṣṣ	qṣṣ[	/q-ṣ(-ṣ)/	vb G suffc. 3 m. sg.	to carve	
176316	qṣṣ	qṣṣ[:w	/q-ṣ(-ṣ)/	vb G suffc. 3 m. pl.	to carve	
176317	bb	bb/	bb	PN sg. cstr. nom.	bb	
# KTU 1.167 6						
176318	ˤl	ˤl(III)/	ʕl (III)	n. m. sg. cstr. gen.	offspring	
176319	ˤpr	ˤpr(I)/	ʕpr (I)	n. m. sg. abs. gen.	dust	
# KTU 1.167 7						
176320	m	m	m(h)	pers. pn.	what?	
176321	ˤnh	ˤn(I)/+h	ʕn (I)	n. f. cstr. nom.	eye	
# KTU 1.167 8						
176322	yšu	!y!(nš(ʔ[&u	/n-š-ʔ/	vb G prefc. 3 m. sg.	to raise, lift, help up	
176323	ˤp	ˤp(I)/	ʕp (I)	n. m. abs. nom.	bird	
# KTU 1.167 9						
176324	hm	hm(II)	hm (II)	conj./interr. functor	if	
176324	hm	hm(I)	hm (I)	pers. pn.	they	
176325	ih	i(I)+h	ỉ (I)	interj.	woe	
# KTU 1.167 10						
176326	ˤẓrn	ˤẓrn	ʕẓrn		(?)	
176327		?	?	?	?	
# KTU 1.167 11						
176328	qṭr	qṭr/	qṭr	n. m. sg. cstr. nom.	smoke	
176329	lbn	lb/+n	lb	n. m. cstr. gen.	heart	
# KTU 1.167 12						
176330	r	?	?	?	?	DULAT: NOT FOUND
# KTU 1.167 13						
176331	nˤ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.167 14						
176332	i	i(I)	ỉ (I)	interj.	woe	
