id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.85 1						
159480	l	l(I)	l (I)	prep.	to	
159480	l	l(III)	l (III)	functor	certainly	
159481	urtn	?	?	?	?	DULAT: NOT FOUND
# KTU 2.85 2						
159482	adny	adn(I)/+y	ảdn (I)	n. m. cstr. nom.	lord	
159483	rgm	rgm[	/r-g-m/	vb G suffc. 3 m. sg.	to say	
159483	rgm	rgm[	/r-g-m/	vb G impv. 2	to say	
159483	rgm	!!rgm[/	/r-g-m/	vb G inf.	to say	
159483	rgm	rgm[/	/r-g-m/	vb G pass. ptcpl. m. sg. abs. nom.	to say	
159483	rgm	rgm/	rgm	n. m. sg. abs. nom.	word	
# KTU 2.85 3						
159484	w	w	w	conj.	and	
159485	l	l(I)	l (I)	prep.	to	
159485	l	l(III)	l (III)	functor	certainly	
159486	bḏmr	?	?	?	?	DULAT: NOT FOUND
159487	umy	um/y	ủm	n. f. sg. cstr. nom.	mother	
# KTU 2.85 4						
159488	rgm	rgm[/	/r-g-m/	vb G pass. ptcpl. m. sg. cstr. gen.	to say	
159488	rgm	rgm/	rgm	n. m. sg. cstr. gen.	word	
159489	tḥm	tḥm/	tḥm	n. m. sg. cstr. gen.	message	
159490	ˤzilt	ˤzilt/	ʕzilt	PN sg. cstr. gen.	ʿzilt	
# KTU 2.85 5						
159491	bn	bn(I)/	bn (I)	n. m. pl. abs. gen.	son	
159491	bn	bn(I)/	bn (I)	n. m. sg. abs. gen.	son	
159492	km	k(III)	k (III)	functor	when	
159492	km	k(I)	k (I)	prep.	like	
159492	km	k(IV)	k (IV)	adv.	thus	
159492	km	km	km	prep./conj./adv.		
159492	km	+km, +km=	-km			
# KTU 2.85 6						
159493	yšlm	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg.	to be well	
159493	yšlm	!y!šlm[:d	/š-l-m/	vb D prefc. 3 m. sg.	to be well	
159494	lkm	l(I)+k~m	l (I)	prep.	to	
# KTU 2.85 7						
159495	ilm	il(I)/~m	ỉl (I)	n. m. abs. nom. sg.	god	
159495	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	
159496	l	l(I)	l (I)	prep.	to	
159496	l	l(II)	l (II)	adv.	no	
159496	l	l(III)	l (III)	functor	certainly	
159497	šlm	šlm[:d:w	/š-l-m/	vb D suffc. 3 m. pl.	to be well	
# KTU 2.85 8						
159498	tġrkm	nġr[km	/n-ġ-r/	vb G suffc.	to protect	
159499	tšlmkm	tšlmkm[	/š-l-m/	vb D suffc. 3 m. sg.	to be well	
# KTU 2.85 9						
159500	hln	hln	hln	deictic adv. functor	look!	
159501	hn	hn	hn	functor	behold!	
159502	ˤmn	ˤm(I)+n	ʕm (I)	prep.	to	
# KTU 2.85 10						
159503	šlm	šlm(I)/	šlm (I)	n. m. sg. abs. nom.	peace	
