id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.84 1						
170772	t	/t, /t=				DULAT: NOT FOUND
170772	t	[t, [t=, [t==, [t===				DULAT: NOT FOUND
170773	ugrt	ugrt/	ủgrt	TN sg. abs. nom.	Ugarit	
# KTU 1.84 2						
170774	w	w	w	conj.	and	
170775	npy	npy/	npy	n. m. sg. cstr. nom.	purification	
170776	yman	yman/	ymản	TN sg. abs. gen.	Ionia	
170777	xxx	?	?	?	?	
# KTU 1.84 3						
170778	w	w	w	conj.	and	
170779	npy	npy/	npy	n. m. sg. abs. nom.	purification	
170780	ˤrmtw	?	?	?	?	DULAT: NOT FOUND
170781	npy	npy/	npy	n. m. sg. cstr. nom.	purification	
170782	annpdgl	annpdgl/	ảnnpdgl	PN sg. abs. gen.	ảnnpdgl	
# KTU 1.84 4						
170783	u	u	ủ	conj.	or	
170784	šn	šn(w[	/š-n-w/	vb G suffc. 3 m. sg.	to change: a) reflex.	
170784	šn	šnw[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
170784	šn	šn(w[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
170785	ypkn	yp/+kn	yp	n. m. cstr. nom.	dignity	
170786	u	u	ủ	conj.	or	
170787	l	l(I)	l (I)	prep.	to	
170788	p	p(III)/	p (III)	n. m. sg. cstr. gen.	mouth	
170789	qṭy	qṭy(I)/	qṭy (I)	GN sg. abs. gen.	il qadita	
170790	u	u	ủ	conj.	or	
170791	l	l(I)	l (I)	prep.	to	
170792	p	p(III)/	p (III)	n. m. sg. cstr. gen.	mouth	
170793	ddmy	ddmy/	ddmy	GN sg. abs. gen.	ddmy	
170794	u	u	ủ	conj.	or	
170795	l	l(I)	l (I)	prep.	to	
170796	p	p(III)/	p (III)	n. m. sg. cstr. gen.	mouth	
170797	ḫry	ḫry/	ḫry	GN sg. abs. gen.	Hurrian	
# KTU 1.84 5						
170798	u	u	ủ	conj.	or	
170799	l	l(I)	l (I)	prep.	to	
170800	p	p(III)/	p (III)	n. m. sg. cstr. gen.	mouth	
170801	ḫty	ḫty(I)/	ḫty (I)	GN sg. abs. gen.	Hittite	
170802	u	u	ủ	conj.	or	
170803	l	l(I)	l (I)	prep.	to	
170804	p	p(III)/	p (III)	n. m. sg. cstr. gen.	mouth	
170805	alṯy	alṯy/	ảlṯy(y)	GN sg. abs. gen.	ảlṯy(y)	
170806	u	u	ủ	conj.	or	
170807	l	l(I)	l (I)	prep.	to	
170808	p	p(III)/	p (III)	n. m. sg. cstr. gen.	mouth	
170809	ġbr	ġbr/	ġbr	TN sg. abs. gen.	nom propre	
170810	u	u	ủ	conj.	or	
170811	l	l(I)	l (I)	prep.	to	
170812	p	p(III)/	p (III)	n. m. sg. cstr. gen.	mouth	
170813	ḫbtkn	ḫbt(I)/+kn	ḫbt (I)	n. m. pl. cstr. gen.	oppressor	
# KTU 1.84 6						
170814	u	u	ủ	conj.	or	
170815	l	l(I)	l (I)	prep.	to	
170816	p	p(I)	p (I)	conj. functor	and	
170816	p	p(III)/	p (III)	n. m. sg. abs. gen.	mouth	
170816	p	p(II)	p (II)	adv.	here	
170817	mdllkn	mdll+kn	mdll	→	?	
170818	u	u	ủ	conj.	or	
170819	l	l(I)	l (I)	prep.	to	
170820	p	p(III)/	p (III)	n. m. sg. cstr. gen.	mouth	
170821	qrzbl	qrzbl/	qrzbl	TN sg. abs. gen.	Fürstenquelle	
170822	u	u	ủ	conj.	or	
170823	šn	šn(w[	/š-n-w/	vb G suffc. 3 m. sg.	to change: a) reflex.	
170823	šn	šnw[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
170823	šn	šn(w[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
170824	ypkn	yp/+kn	yp	n. m. cstr. nom.	dignity	
# KTU 1.84 7						
170825	b	b	b	prep.	in	
170826	apkn	ap(I)+kn	ảp (I)	adv./conj.	also	
170826	apkn	ap(II)/+kn	ảp (II)	n. m. cstr. gen.	nose	
170826	apkn	ap(q&k/+n	ảpq	n. m. cstr. gen.	spring	
170827	u	u	ủ	conj.	or	
170828	b	b	b	prep.	in	
170829	qṣrt	qṣr(t/t	qṣrt	n. f. sg. cstr. gen.	shortness	
170830	npškn	npš(I)/+kn	npš (I)	n. f. cstr. gen.	throat	
170830	npškn	npš(I)&k/+n	npš (I)	n. f. cstr. gen.	throat	
170831	u	u	ủ	conj.	or	
170832	b	b	b	prep.	in	
170833	qṭt	qṭ(t/t	qṭt	n. f. sg. abs. gen.	transgression	
170834	tqṭṭ	!t!qṭṭ[:l	/q-ṭ(-ṭ)/	vb L prefc.	to commit transgression	
# KTU 1.84 8						
170835	u	u	ủ	conj.	or	
170836	šn	šn(w[	/š-n-w/	vb G suffc. 3 m. sg.	to change: a) reflex.	
170836	šn	šnw[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
170836	šn	šn(w[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
170837	ypknġl	?	?	?	?	DULAT: NOT FOUND
170838	il	il(I)/	ỉl (I)	DN m. sg. cstr. nom.	ʾIlu/Ilu/El	
170838	il	il(I)/	ỉl (I)	n. m. sg. cstr. nom.	god	
170839	tˤḏr	tˤḏr/	tʕḏr	n. m. sg. cstr. gen.	help	
170840	bˤl	bˤl(II)/	bʕl (II)	DN pl. abs. gen.	Baʿlu/Baal	
170840	bˤl	bˤl(II)/	bʕl (II)	DN sg. abs. gen.	Baʿlu/Baal	
