id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.1 1						
156287	yšlm	!y!šlm[	/š-l-m/	vb G	to be well	
156288	lk	l(I)+k	l (I)	prep.	to	
156289	ilm	il(I)/m	ỉl (I)	n. m.	god	
# KTU 2.1 2						
156290	tġrk	!t!nġr[	/n-ġ-r/	vb G	to protect	
156291	tšlmk	!t!šlm[	/š-l-m/	vb D	to be well	
# KTU 2.1 3						
156292	hlny	hlny	hlny	deictic adv. functor	behold	
156293	kll	kll/	kll	n. m.	totality	
# KTU 2.1 4						
156294	w	w	w	conj.	and	
156295	pdr	pdr(I)/	pdr (I)	n. m.	town	
# KTU 2.1 5						
156296	tmġyn	!t!mġy[	/m-ġ-y/	vb G	to come	
# KTU 2.1 6						
156297	w	w	w	conj.	and	
156298	mlix	?	?	?	?	DULAT: NOT FOUND
# KTU 2.1 7						
156299	akl	akl(II)/	ảkl (II)	n. m.	grain	
156300	w	w	w	conj.	and	
156301		?	?	?	?	
# KTU 2.1 8						
156302	ˤd	ˤd(III)/	ʕd (III)	n. m.	throne	
156302	ˤd	ˤd(II)/	ʕd (II)	n. m.	time	
156303	mġy	mġy[	/m-ġ-y/	vb G	to come	
