id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.113 1						
153726	d	d	d	det. or rel. functor	the one(s) of	
153727	mt	mt(II)/; mt[; mt(I)/	mt (II); /m-t/; mt (I)	n. m.; vb; n. m.	death; to die; dead person	
153728	wrm	?	?	?	?	DULAT: NOT FOUND
153729	tph	phy[	/p-h-y/	vb	to see	
# KTU 1.113 2						
153730	lumm	?	?	?	?	DULAT: NOT FOUND
153731	lnˤm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.113 3						
153732	x	?	?	?	?	
153733	wrm	?	?	?	?	DULAT: NOT FOUND
153734	ṯlbm	ṯlb/m	ṯlb	n. m.	flute	
# KTU 1.113 4						
153735	pr	pr(II)/; pr(I)/	pr (II); pr (I)	n. m.; n. m.	young bull; fruit	
153736	lnˤm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.113 5						
153737	d	d	d	det. or rel. functor	the one(s) of	
153738	mt	mt(II)/; mt[; mt(I)/	mt (II); /m-t/; mt (I)	n. m.; vb; n. m.	death; to die; dead person	
153739	wrm	?	?	?	?	DULAT: NOT FOUND
153740	tph	phy[	/p-h-y/	vb	to see	
# KTU 1.113 6						
153741	ḥb	?	?	?	?	DULAT: NOT FOUND
153742	lnˤm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.113 7						
153743	ymġy	!y!mġy[	/m-ġ-y/	vb	to come	
# KTU 1.113 8						
153744	rm	rm(I)/; rm[; rm(II)/	rm (I); /r-m/; rm (II)	adj. m.; vb; n. m.	high; to go up; erection	
153745	ṯlbm	ṯlb/m	ṯlb	n. m.	flute	
# KTU 1.113 9						
153746	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
153747	nˤm	nˤm(I)/; nˤm(II)/	nʕm (I); nʕm (II)	adj. m.; n. m.	handsome; grace	
# KTU 1.113 10						
153748	ḥ	lqḥ[	/l-q-ḥ/	vb	to get hold of	
153749	nˤm	nˤm(I)/; nˤm(II)/	nʕm (I); nʕm (II)	adj. m.; n. m.	handsome; grace	
# KTU 1.113 11						
153750	x	?	?	?	?	
# KTU 1.113 12						
153751	xxxx	?	?	?	?	
# KTU 1.113 13						
153752	il	il(I)/	ỉl (I)	n. m.	god	
153753	ˤmṯtmr	ˤmṯtmr/	ʕmṯtmr	PN	ʿmṯtmr	
# KTU 1.113 14						
153754	il	il(I)/	ỉl (I)	n. m.	god	
153755	nqmpˤ	nqmpˤ/	nqmpʕ	PN	nqmpʿ	
# KTU 1.113 15						
153756	il	il(I)/	ỉl (I)	n. m.	god	
153757	ˤmpi	?	?	?	?	DULAT: NOT FOUND
# KTU 1.113 16						
153758	il	il(I)/	ỉl (I)	n. m.	god	
153759	ibrn	ibr(I)/+n(I); ibr(I)/+n(II); ibr(I)/+n(III)	ỉbr (I), -n (I); ỉbr (I), -n (II); ỉbr (I), -n (III)	n. m., morph.; n. m., pers. pn./morph./vb; n. m., pers. pn./morph.	bull, Sun; bull, me; bull, our	
# KTU 1.113 17						
153760	il	il(I)/	ỉl (I)	n. m.	god	
153761	yˤḏrd	yˤḏrd/	yʕḏrd	PN	yʿḏrd	
# KTU 1.113 18						
153762	il	il(I)/	ỉl (I)	n. m.	god	
153763	ˤmṯtmril	?	?	?	?	DULAT: NOT FOUND
153764	nqmpˤ	nqmpˤ/	nqmpʕ	PN	nqmpʿ	
# KTU 1.113 19						
153765	il	il(I)/	ỉl (I)	n. m.	god	
153766	nqmdil	?	?	?	?	DULAT: NOT FOUND
153767	ibrn	ibr(I)/+n(I); ibr(I)/+n(II); ibr(I)/+n(III)	ỉbr (I), -n (I); ỉbr (I), -n (II); ỉbr (I), -n (III)	n. m., morph.; n. m., pers. pn./morph./vb; n. m., pers. pn./morph.	bull, Sun; bull, me; bull, our	
# KTU 1.113 20						
153768	il	il(I)/	ỉl (I)	n. m.	god	
153769	arḫlbil	?	?	?	?	DULAT: NOT FOUND
153770	ˤmrpi	ˤmrpi/	ʕmrpỉ	PN	ʿAmmurāpʾi	
# KTU 1.113 21						
153771	il	il(I)/	ỉl (I)	n. m.	god	
153772	nqmpˤilnqmpˤ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.113 22						
153773	il	il(I)/	ỉl (I)	n. m.	god	
153774	ˤmṯtmril	?	?	?	?	DULAT: NOT FOUND
153775	ibrn	ibr(I)/+n(I); ibr(I)/+n(II); ibr(I)/+n(III)	ỉbr (I), -n (I); ỉbr (I), -n (II); ỉbr (I), -n (III)	n. m., morph.; n. m., pers. pn./morph./vb; n. m., pers. pn./morph.	bull, Sun; bull, me; bull, our	
# KTU 1.113 23						
153776	il	il(I)/	ỉl (I)	n. m.	god	
153777	nqmdil	?	?	?	?	DULAT: NOT FOUND
153778	nqmpˤ	nqmpˤ/	nqmpʕ	PN	nqmpʿ	
# KTU 1.113 24						
153779	il	il(I)/	ỉl (I)	n. m.	god	
153780	ibrn	ibr(I)/+n(I); ibr(I)/+n(II); ibr(I)/+n(III)	ỉbr (I), -n (I); ỉbr (I), -n (II); ỉbr (I), -n (III)	n. m., morph.; n. m., pers. pn./morph./vb; n. m., pers. pn./morph.	bull, Sun; bull, me; bull, our	
# KTU 1.113 25						
153781	il	il(I)/	ỉl (I)	n. m.	god	
153782	nqmd	nqmd/	nqmd	PN	Niqmaddu II	
# KTU 1.113 26						
153783	pˤil	?	?	?	?	DULAT: NOT FOUND
153784	yqr	qrʔ[	/q-r-ʔ/	vb	to call	
