id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.32 1						
157542	l	l(I)	l (I)	prep.	to	
# KTU 2.32 2						
157543	xxxxd	?	?	?	?	DULAT: NOT FOUND
157544	ˤmy	ˤm(I)+y	ʕm (I)	prep.	to	
# KTU 2.32 3						
157545	spr	spr(II)/	spr (II)	n. m. sg. abs. nom.	4) archival note of “reference	
157545	spr	spr[	/s-p-r/	vb G suffc. 3 m. sg.	to count	
157545	spr	!!spr[/	/s-p-r/	vb G inf.	to count	
157545	spr	spr[:d	/s-p-r/	vb D suffc. 3 m. sg.	to count	
157545	spr	spr[:d:w	/s-p-r/	vb D suffc. 3 m. pl.	to count	
157545	spr	!!spr[/	/s-p-r/	vb D inf.	to count	
157545	spr	spr(I)/	spr (I)	n. m. sg. abs. nom.	scribe	
157546	lm	l(I)+m(I)	l (I)	prep.	to	
157547	likt	l(ʔ&ik[t	/l-ʔ-k/	vb G suffc. 1 c. sg.	to send (a message)	
# KTU 2.32 4						
157548	ny	n(I)&y	-n (I)	morph.	with PNN and titles	
157549	k	+k	-k (I)			
157549	k	~k	-k (II)			
157549	k	k(III)	k (III)	Subordinating or completive functor	when	
157549	k	k(I)	k (I)	prep.	like	
157549	k	k(II)	k (II)	emph. functor	yes	
157550	išal	?	?	?	?	DULAT: NOT FOUND
157551	hm	hm(II)	hm (II)	conj./interr. functor	if	
157551	hm	hm(I)	hm (I)	pers. pn.	they	
# KTU 2.32 5						
157552	ˤšrm	ˤšrm/	ʕšrm	num.	twenty	
157553	kkr	kkr/	kkr	n. m. sg. cstr. nom.	1) talent	
157554	ṯlṯ	ṯlṯ(V)/	ṯlṯ (V)	n. m. sg. abs. gen.	copper	
# KTU 2.32 6						
157555	ṯlṯm	ṯlṯm/	ṯlṯm	num.	1) the numeral thirty b) ge. syntagms	
157556	kkr	kkr/	kkr	n. m. sg. cstr. nom.	talent	
157557	ṯlṯ	ṯlṯ(V)/	ṯlṯ (V)	n. m. sg. abs. gen.	copper	
# KTU 2.32 7						
157558	d	d	d	det. or rel. functor	the one(s) of	
157559	aštn	!(ʔ&a!št[+n	/š-t/	vb G prefc. 1 c. sg.	to place, set, set up, leave	
157560	lk	l(I)+k	l (I)	prep.	1) prep. of direction b) ventive	
# KTU 2.32 8						
157561	xy	?	?	?	?	DULAT: NOT FOUND
157562	kl	kl/	kl	n. m. sg. cstr. nom.	totality (of)	
157563	dbrm	dbr(I)/m	dbr (I)	n. m. pl. abs. gen.	matter	
157564	hmt	hmt	hmt	pers. pn.		
# KTU 2.32 9						
157565	al	al(I)	ảl (I)	neg. functor	no	
157565	al	al(II)	ảl (II)	pos. functor	surely	
157566	w	w	w	conj.	and	
157567	kl	kl/	kl	n. m. sg. cstr. nom.	1) totality (of) b) cstr. with n	
157568	mḫrk	mḫr(I)/+k	mḫr (I)	n. m. sg. cstr. gen.	price	
157568	mḫrk	mḫr(II)/+k	mḫr (II)	n. m. cstr. gen.	tax collector	
# KTU 2.32 10						
157569	ištir	š]t]ʔr[r	/š-ʔ-r/	vb Gt suffc.	to remain, stay	
157569	ištir	š]t]ʔr[r	/š-ʔ-r/	vb Gt impv. 2	to remain, stay	
157570	aštn	!(ʔ&a!št[+n	/š-t/	vb G prefc. 1 c. sg.	to place	
157571	lk	l(I)+k	l (I)	prep.	to	
# KTU 2.32 11						
157572	ṯlṯm	ṯlṯm/	ṯlṯm	num.	thirty	
157573	kkr	kkr/	kkr	n. m. sg. abs. nom.	talent	
157574	ṯlt	?	?	?	?	DULAT: NOT FOUND
