id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.122 1						
175063	hw	hw	hw	pers. pn.	he	
175064	nkr	nkr/	nkr	adj. m. sg. abs. nom.	foreigner / stranger	
175065	nkt	!n!(nkt[	/n-k-t/	vb G prefc. 1 c. pl.	to immolate	
175065	nkt	nkt/	nkt	n. m. sg. abs. nom.	immolation	
# KTU 1.122 2						
175066	ytši	!y!(n]t]š(ʔ[&i	/n-š-ʔ/	vb Gt prefc. 3 m. sg.	to go up	
175067	l	l(I)	l (I)	prep.	to	
175068	ab	ab/	ảb	n. m. sg. cstr. gen.	father	
175069	bn	bn(I)/	bn (I)	n. m. cstr. gen.	son	
175069	bn	bn(I)/	bn (I)	n. m. sg. cstr. gen.	son	
175070	il	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
175070	il	il(I)/	ỉl (I)	n. m. sg. abs. gen.	god	
175071	ytši	!y!(n]t]š(ʔ[&i	/n-š-ʔ/	vb Gt prefc. 3 m. sg.	to go up	
175072	l	l(I)	l (I)	prep.	to	
# KTU 1.122 3						
175073	dr	dr/	dr	n. m. pl. cstr. gen.	circle	
175073	dr	dr/	dr	n. m. sg. cstr. gen.	circle	
175074	bn	bn(I)/	bn (I)	n. m. cstr. gen.	son	
175074	bn	bn(I)/	bn (I)	n. m. sg. cstr. gen.	son	
175075	il	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
175075	il	il(I)/	ỉl (I)	n. m. sg. abs. gen.	god	
175076	l	l(I)	l (I)	prep.	to	
175077	mpḫrt	mpḫr(t/t	mpḫrt	n. f. sg. cstr. gen.	assembly	
# KTU 1.122 4						
175078	bn	bn(I)/	bn (I)	n. m. cstr. gen.	son	
175078	bn	bn(I)/	bn (I)	n. m. sg. cstr. gen.	son	
175079	il	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
175079	il	il(I)/	ỉl (I)	n. m. sg. abs. gen.	god	
175080	l	l(I)	l (I)	prep.	to	
175081	ṯkmn	ṯkmn/	ṯkmn	DN/element sg. abs. gen.	Ṯukamuna/Thukamuna/first element of the double-barrelled DN ṯkmn w šnm, origin unknown	
175081	ṯkmn	ṯkm/+n	ṯkm	n. m. cstr. gen.	shoulder	
175082	w	w	w	conj.	and	
175083	šnm	šnm/	šnm	DN sg. abs. nom.	Šunama/Shunama/second member of the double-barrelled divine name ṯkmn w šnm, origin unknown	
# KTU 1.122 5						
175084	n	~n	-n (I)	encl. morph.		DULAT: NOT FOUND
175084	n		-n (IV)	vb	him/her/it	DULAT: NOT FOUND
# KTU 1.122 6						
175085	p	p(I)	p (I)	conj. functor	and	
175085	p	p(III)/	p (III)	n. m. sg. abs. nom.	mouth	
175085	p	p(II)	p (II)	adv.	here	
# KTU 1.122 7						
175086	m	m	m(h)	pers. pn.	what?	
# KTU 1.122 8						
175087	p	p(I)	p (I)	conj. functor	and	
175087	p	p(III)/	p (III)	n. m. sg. abs. nom.	mouth	
175087	p	p(II)	p (II)	adv.	here	
