id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.111 1						
160695	xḥx	?	?	?	?	DULAT: NOT FOUND
# KTU 2.111 2						
160696	w	w	w	conj.	and	
160697	xbḥ	?	?	?	?	DULAT: NOT FOUND
# KTU 2.111 3						
160698	d	d	d	det. or rel. functor	the one(s) of	
160699	arš	arš/	ảrš	DN	a monster (“many-headed”, “whale”)	
# KTU 2.111 4						
160700	w	w	w	conj.	and	
160701	rgm	rgm[	/r-g-m/	vb G suffc. / vb G impv.	to say	
160701	rgm	!!rgm[/	/r-g-m/	vb G inf.	to say	
160701	rgm	rgm[/	/r-g-m/	vb G pass. ptcpl.	to say	
160701	rgm	rgm/	rgm	n. m. sg.	word	
# KTU 2.111 5						
160702	šˤt	?	?	?	?	DULAT: NOT FOUND
160703	bn	bn(I)/	bn (I)	n. m. sg. / n. m. pl. cstr.	son	
160703	bn	bn(II)	bn (II)	prep.	between	
160703	bn	bn[	/b-n/	vb G suffc. / vb G impv.	to understand	
# KTU 2.111 6						
160704	sˤt	sˤ[/t	/s-ʕ/	vb G pass. ptcpl. pl.	to sweep	
160705	x	?	?	?	?	
# KTU 2.111 7						
160706	ṯx	?	?	?	?	DULAT: NOT FOUND
# KTU 2.111 8						
160707	d	d	d	det. or rel. functor	the one(s) of	
# KTU 2.111 9						
160708	šx	?	?	?	?	DULAT: NOT FOUND
# KTU 2.111 10						
160709	w	w	w	conj.	and	
160710	a	?	?	?	?	
# KTU 2.111 11						
160711	mnm	mnm	mnm	indef. pn.	any(thing)	
160712		?	?	?	?	
# KTU 2.111 12						
160713	an	an(I)	ản (I)	pers. pn.	I	
160713	an	an(II)	ản (II)	adv.	wherever	
160714	iš	iš	ỉš		Getier/Taube	
