id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.71 1						
158916	tḥm	tḥm/	tḥm	n. m. sg. cstr. nom.	message	
158917	tlmyn	tlmyn/	tlmyn	PN sg. abs. gen.	2.11	
# KTU 2.71 2						
158918	l	l(I)	l (I)	prep.	to	
158919	pzy	pzy/	pzy	PN sg. abs. gen.	pzy	
158920	rmgm	?	?	?	?	DULAT: NOT FOUND
# KTU 2.71 3						
158921	yšlm	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg.	to be well	
158921	yšlm	!y!šlm[:d	/š-l-m/	vb D prefc. 3 m. sg.	to re-establish > to pay	
158922	lk	l(I)+k	l (I)	prep.	to	
# KTU 2.71 4						
158923	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	
158924	tšlmk	!t!šlm[:d+k	/š-l-m/	vb D prefc.	to restore / preserve health	
# KTU 2.71 5						
158925	tġrk	!t!(nġr[+k	/n-ġ-r/	vb G prefc.	to protect	
158926	hnny	hn+ny	hn	functor	behold!	
# KTU 2.71 6						
158927	ˤmn	ˤm(I)+n	ʕm (I)	prep.	to	
158928	šlm	šlm[	/š-l-m/	vb G suffc. 3 m. sg.	to be well, do well, be in peace	
158928	šlm	šlm(I)/	šlm (I)	n. m. sg. abs. nom.	peace	
# KTU 2.71 7						
158929	ṯmny	ṯm+ny	ṯm	adv.	there	
158930	ˤmk	ˤm(II)&k/	ʕm (II)	n. m. cstr. nom.	lineage	
# KTU 2.71 8						
158931	rgm	rgm[/	/r-g-m/	vb G pass. ptcpl. m. sg. abs. gen.	to say	
158931	rgm	rgm/	rgm	n. m. sg. abs. gen.	word	
158932	ṯṯb	]š]ṯb[b	/ṯ-b/	vb Š impv. 2	to send (word)	
158932	ṯṯb	!!]š]ṯb[/b	/ṯ-b/	vb Š inf.	to send (word)	
158933	ly	l(I)+y	l (I)	prep.	to	
# KTU 2.71 9						
158934	hnk	hnk	hnk(t)	dem./pers. pn.	that	
158935	tšmˤm	!t!šmˤ[~m	/š-m-ʕ/	vb G prefc.	to hear, listen (to), notice	
# KTU 2.71 10						
158936	ˤdn	ˤdn(III)/	ʕdn (III)	n. m. sg. cstr. nom.	party	
158936	ˤdn	!!ˤdn[/	/ʕ-d-n/	vb G inf.	to appoint the time	
158936	ˤdn	!!ˤdn[/	/ʕ-d-n/	vb D inf.	to appoint the time	
158936	ˤdn	ˤdn(I)/	ʕdn (I)	n. m. sg. abs. nom.	time	
158937	yštal	š]t]ʔl[l	/š-ʔ-l/	vb Gt prefc.	to require a cultic reply	
# KTU 2.71 11						
158938	ˤmnk	ˤm(I)+nk	ʕm (I)	prep.	to	
158939	pm	p(I)+m(I)	p (I)	conj. functor	1) and a) copulative “and”	
158939	pm	p(III)/+m(I)	p (III)	n. m. cstr. nom.	mouth	
158939	pm	p(II)+m(I)	p (II)	adv.	here	
158940	yqḥ	!y!(lqḥ[	/l-q-ḥ/	vb G prefc. 3 m. sg.	to get hold of	
158940	yqḥ	!y!(lqḥ[:pass	/l-q-ḥ/	vb Gpass prefc. 3 m. sg.	to get hold of	
# KTU 2.71 12						
158941	bk	b+k	b	prep.	1) spatial location a) place in which something occurs	
158942	tˤpr	!t!ˤpr[	/ʕ-p-r/	vb G prefc. 3 f. sg.	to supply (something)	
158942	tˤpr	!t=!ˤpr[	/ʕ-p-r/	vb G prefc. 2 m. sg.	to supply (something)	
158942	tˤpr	!t==!ˤpr[	/ʕ-p-r/	vb G prefc. 2 f. sg.	to supply (something)	
158942	tˤpr	!t!ˤpr[	/ʕ-p-r/	vb G prefc. 3 m. du.	to supply (something)	
158942	tˤpr	!t!ˤpr[:w	/ʕ-p-r/	vb G prefc. 3 m. pl.	to supply (something)	
158942	tˤpr	!t===!ˤpr[	/ʕ-p-r/	vb G prefc. 2 m. pl.	to supply (something)	
# KTU 2.71 13						
158943	ht	ht	ht	adv.	1) adv b) of time	
158944	at	at(I)	ảt (I)	pers. pn.	1) you a) subj. in NC	
158945	d	d	d	det. or rel. functor	the one(s) of	
# KTU 2.71 14						
158946	dbr	dbr(II)/	dbr (II)	n. m. sg. abs. nom.	plague	
158947	hmhkm	?	?	?	?	DULAT: NOT FOUND
# KTU 2.71 15						
158948	b	b	b	prep.	in	
158949	lbk	lb/+k	lb	n. m. cstr. gen.	heart	
158950	al	al(I)	ảl (I)	neg. functor	no	
158950	al	al(II)	ảl (II)	pos. functor	surely	
158951	tšt	!t!št[	/š-t/	vb G prefc.	to place	
158951	tšt	!t!št(y[	/š-t-y/	vb G prefc. 3 f. sg.	to drink	
158951	tšt	!t=!št(y[	/š-t-y/	vb G prefc. 2 m. sg.	to drink	
158951	tšt	!t==!št(y[	/š-t-y/	vb G prefc. 2 f. sg.	to drink	
158951	tšt	!t!št(y[	/š-t-y/	vb G prefc. 3 m. du.	to drink	
158951	tšt	!t!št(y[:w	/š-t-y/	vb G prefc. 3 m. pl.	to drink	
158951	tšt	!t===!št(y[	/š-t-y/	vb G prefc. 2 m. pl.	to drink	
# KTU 2.71 16						
158952	ˤd	ˤd(III)/	ʕd (III)	n. m. sg. abs. nom.	throne	
158952	ˤd	ˤd(II)/	ʕd (II)	n. m. sg. abs. nom.	time	
158953	mġyy	!!mġy[/y	/m-ġ-y/	vb G inf.	to come, arrive	
# KTU 2.71 17						
158954	b	b	b	prep.	in	
158955	ˤrm	ˤr(I)/~m	ʕr (I)	n. f. sg. cstr. gen.	city	
158956	ḥpr	ḥpr/	ḥpr	n. m. pl. cstr. gen.	ration(s)	
# KTU 2.71 18						
158957	ˤdn	ˤdn(III)/	ʕdn (III)	n. m. sg. cstr. gen.	party	
158957	ˤdn	ˤdn(I)/	ʕdn (I)	n. m. sg. cstr. gen.	time	
158958	dd	dd(II)/	dd (II)	n. m. sg. cstr. gen.	cauldronful	
158959	akl	akl(II)/	ảkl (II)	n. m. sg. cstr. gen.	1) grain	
# KTU 2.71 19						
158960	mkr	mkr/	mkr	n. m. sg. abs. gen.	merchant	
158961	tn	(ytn[	/y-t-n/	vb	give	
158961	tn	(ytn[/	/y-t-n/	vb	give	
158962	lh	l(I)+h	l (I)	prep.	to	
