id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.103 1						
152308	ṯknt	ṯkn(t/t=	ṯknt	n. f.	appearance	
152309	ṣin	ṣin(I)/	ṣỉn (I)	n. f.	ewe	
152310	k	k(III)	k (III)	Subordinating or completive functor	when	
152311	tld	yld[	/y-l-d/	vb G	to give birth (to)	
152312	at	at(I)	ảt (I)	pers. pn.	you	
152313	abn	ab/+n	ảb	n. m.	father	
152313	abn	abn/	ảbn	n. f.	stone	
152313	abn	!a!bn[	/b-n/	vb G	to understand	
152314	madtn	madt(I)/+n	mảdt (I)	n. f.	great quantity	
152315	tqln	!t!ql[	/q-l/	vb G	to fall (down)	
152316	bḥwt	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 2						
152317	ˤlh	ˤl(I)+h	ʕl (I)	prep.	upon	
152318	nḥš	nḥš/	nḥš	n. m.	serpent	
152319	yaṯr	!y!ʔṯr[	/ʔ-ṯ-r/	vb G/D	to go	
152320	yld	!y!(yld[	/y-l-d/	vb G/N	to give birth (to)	
152320	yld	yld/	yld	n. m.	son	
152321	bhmth	bhmt/+h	bhmt	n. f.	cattle	
152322	tˤṭpn	!t!ˤṭp[	/ʕ-ṭ-p/	vb	to be weak	
# KTU 1.103 3						
152323	gm	g/	g	n. m.	(loud) voice	
152323	gm	gm(II)	gm (II)	adv.	also	
152324	ššxx	?	?	?	?	DULAT: NOT FOUND
152325	rġbn	rġbn/	rġbn	n. m.	hunger	
152326	ykn	!y!kn[	/k-n/	vb G	to be (stable)	
152327	bḥwt	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 4						
152328	w	w	w	conj.	and	
152329	inxxxxxx	?	?	?	?	DULAT: NOT FOUND
152330	ḥwtn	ḥwt/+n	ḥwt	n. f.	country	
152331	tḫlq	!t!ḫlq[	/ḫ-l-q/	vb G/Dpass	to perish	
# KTU 1.103 5						
152332	wqrbh	?	?	?	?	DULAT: NOT FOUND
152333	ptḥ	ptḥ[	/p-t-ḥ/	vb G	to open	
152333	ptḥ	ptḥ/	ptḥ	n. m.	entrance	
152334	rġbn	rġbn/	rġbn	n. m.	hunger	
152335	ykn	!y!kn[	/k-n/	vb G	to be (stable)	
152336	bḥwt	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 6						
152337	win	?	?	?	?	DULAT: NOT FOUND
152338	bhap	?	?	?	?	DULAT: NOT FOUND
152339	wḫr	?	?	?	?	DULAT: NOT FOUND
152340	apm	ap(I)+m(I)	ảp (I)	adv./conj.	also	
152340	apm	ap(I)+m(II)	ảp (I)	adv./conj.	also	
152340	apm	ap(II)/+m(I)	ảp (II)	n. m.	nose	
152341	ḥwtntḫlq	?	?	?	?	DULAT: NOT FOUND
152342	mt	mt(II)/	mt (II)	n. m.	death	
152342	mt	mt[	/m-t/	vb G	to die	
152342	mt	mt(I)/	mt (I)	n. m.	dead person	
152343	n	~n	-n (I)	encl. morph.		
152343	n	[n, [n=	-n (II)	suffixed pn. morph. used with vb	me/to me	
152343	n	+n, +n=	-n (III)	suff. pn. morph. 1.p.pl.	our/us	
152343	n		-n (IV)	contracted suff. pn. morph. used with a vb	him/her/it	
152344	rgm	rgm[	/r-g-m/	vb G	to say	
152344	rgm	rgm/	rgm	n. m.	word	
# KTU 1.103 7						
152345	win	?	?	?	?	DULAT: NOT FOUND
152346	xxxxmlkn	?	?	?	?	DULAT: NOT FOUND
152347	yiḫd	!y!ʔḫd[	/ʔ-ḫ-d(/ḏ)/	vb G/Gpass	to collect	
152348	ḥwt	ḥw(t/t	ḥwt	n. f.	country	
152349	ibh	ib(I)/+h	ỉb (I)	n. m.	enemy	
152350	mrḥy	mrḥ/y	mrḥ	n. f.	lance	
152351	mlk	mlk[	/m-l-k/	vb G	to reign	
152351	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
152352	tdlln	!t!dll[	/d-l-l/	vb D	to oppress	
# KTU 1.103 8						
152353	ˤnh	ˤn(I)/h	ʕn (I)	n. f.	eye	
152354	mxxxxxxxmḫt	?	?	?	?	DULAT: NOT FOUND
152355	bhmt	bhm(t/t	bhmt	n. f.	cattle	
152356	ḥwt	ḥw(t/t	ḥwt	n. f.	country	
152357	tḫlq	!t!ḫlq[	/ḫ-l-q/	vb G/Dpass	to perish	
# KTU 1.103 9						
152358	w	w	w	conj.	and	
152359	in	in/	ỉn	n. m.	lack of	
152360	šq	šq/	šq	n. m.	thigh	
152361	šmal	šmal/	šmảl	adj. m. or n. m.	left	
152362	bh	b	b	prep.	in	
152363	mlkn	mlk(I)	mlk (I)		king	
152364	y	+y, [y	-y (I)	prep. functor	my	
152364	y	~y	-y (II)	prep. functor	indeed	
152364	y	y	y	prep. functor	oh!	
# KTU 1.103 10						
152365	w	w	w	conj.	and	
152366	in	in/	ỉn	n. m.	lack of	
152367	qṣršmal	?	?	?	?	DULAT: NOT FOUND
152368	mlkn	mlk(I)	mlk (I)		king	
152369	xxxxḥwtibh	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 11						
152370	w	w	w	conj.	and	
152371	qrn	qrn/	qrn	n. f.	horn	
152372	širbpith	?	?	?	?	DULAT: NOT FOUND
152373	šmal	šmal/	šmảl	adj. m. or n. m.	left	
152374	mlkn	mlk(I)	mlk (I)		king	
152375	xxxxḥwt	?	?	?	?	DULAT: NOT FOUND
152376	ibh	ib(I)/+h	ỉb (I)	n. m.	enemy	
# KTU 1.103 12						
152377	ṭḥl	ṭḥl/	ṭḥl	n. m.	spleen	
152378	in	in/	ỉn	n. m.	lack of	
152379	bh	b	b	prep.	in	
152380	rġbn	rġbn/	rġbn	n. m.	hunger	
152381	ykn	!y!kn[	/k-n/	vb G	to be (stable)	
152382	bḥwt	?	?	?	?	DULAT: NOT FOUND
152383	xxxṯnykn	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 13						
152384	mlkn	mlk(I)	mlk (I)		king	
152385	l	l(I)	l (I)	prep.	to	
152385	l	l(II)	l (II)	adv.	no	
152385	l	l(III)	l (III)	functor	certainly	
152386	ypq	!y!pq[	/p-q/	vb G	to obtain	
152386	ypq	!y!(ypq[	/y-p-q/	vb G	to get	
152387	špḥ	špḥ/	špḥ	n. m.	family	
# KTU 1.103 14						
152388	w	w	w	conj.	and	
152389	in	in/	ỉn	n. m.	lack of	
152390	uškm	ušk/	ủšk	n. m.	testicle	
152391	bh	b	b	prep.	in	
152392	ḏrˤ	ḏrˤ(I)/	ḏrʕ (I)	n. f.	arm	
152393	ḥwt	ḥw(t/t	ḥwt	n. f.	country	
152394	hytyḥsl	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 15						
152395	w	w	w	conj.	and	
152396	in	in/	ỉn	n. m.	lack of	
152397	krˤ	krˤ	krʕ		knuckle	
152398	ydh	yd(I)/+h	yd (I)	n. f.	hand	
152399	šmal	šmal/	šmảl	adj. m. or n. m.	left	
152400	mlknyḫlq	?	?	?	?	DULAT: NOT FOUND
152401	bhmtibh	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 16						
152402	winx	?	?	?	?	DULAT: NOT FOUND
152403	ibn	ib(I)/+n	ỉb (I)	n. m.	enemy	
152404	yḫlq	!y!ḫlq[	/ḫ-l-q/	vb D/Dpass	to perish	
152405	bhmt	bhm(t/t	bhmt	n. f.	cattle	
152406	ḥwt	ḥw(t/t	ḥwt	n. f.	country	
# KTU 1.103 17						
152407	ḥ	lqḥ[	/l-q-ḥ/	vb G/N	to get hold of	
152408	ṯnn	ṯnn(I)/	ṯnn (I)	n. m.	archer	
152409	ˤz	ˤz[	/ʕ-z(-z)/	vb G	to be strong	
152409	ˤz	ˤz(II)/	ʕz (II)	n. m.	caprine animal	
152409	ˤz	ˤz(III)/	ʕz (III)	adj. m. or n. m.	strong	
152410	yuḫd	!y!ʔḫd[	/ʔ-ḫ-d(/ḏ)/	vb G/Gpass	to collect	
152411	ib	ib(I)/	ỉb (I)	n. m.	enemy	
152411	ib	ib(II)/	ỉb (II)	n. m./DN	fruit	
152412	mlk	mlk[	/m-l-k/	vb G	to reign	
152412	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
# KTU 1.103 18						
152413	ibnyḫlq	?	?	?	?	DULAT: NOT FOUND
152414	mṯn	mṯn/	mṯn	n. m.	repetition	
152415	rgm	rgm[	/r-g-m/	vb G	to say	
152415	rgm	rgm/	rgm	n. m.	word	
# KTU 1.103 19						
152416	rġb	rġb[	/r-ġ-b/	vb G	to be hungry	
152417	w	w	w	conj.	and	
152418	tp	tp(I)/	tp (I)	n. m.	drum	
152418	tp	tp(II)/	tp (II)	n. m.	aspect	
152418	tp	npy[	/n-p-y/	vb N/Gpass	to be driven away	
152419	mṣqt	mṣq(t/t	mṣqt	n. f.	difficult situation	
# KTU 1.103 20						
152420	tˤzzn	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 21						
152421	txxrn	?	?	?	?	DULAT: NOT FOUND
# KTU 1.103 22						
152422	ibh	ib(I)/+h	ỉb (I)	n. m.	enemy	
# KTU 1.103 23						
152423		?	?	?	?	
152424	tpšlt	tpšl(t/t	tpšlt	n. f.	oppression	
# KTU 1.103 24						
152425	xxxxxx	?	?	?	?	
152426	l	l(I)	l (I)	prep.	to	
152426	l	l(III)	l (III)	functor	certainly	
# KTU 1.103 25						
152427	w	w	w	conj.	and	
152428	qrn	qrn/	qrn	n. f.	horn	
152429	šir	šir(I)/	šỉr (I)	n. m.	flesh	
152430	l	l(I)	l (I)	prep.	to	
152430	l	l(II)	l (II)	adv.	no	
152430	l	l(III)	l (III)	functor	certainly	
