id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.98 1						
172239	lt	lt	lt	?	?	
172240	x	?	?	?	?	
# KTU 1.98 2						
172241	ˤn	ˤn(I)/	ʕn (I)	n. f. du. cstr. nom.	eye	
172241	ˤn	ˤn(I)/	ʕn (I)	n. f. sg. cstr. nom.	eye	
172241	ˤn	ˤn(II)/	ʕn (II)	n. f. sg. cstr. nom.	furrow	
172242	il	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
172242	il	il(I)/	ỉl (I)	n. m. sg. cstr. gen.	god	
172243		?	?	?	?	
# KTU 1.98 3						
172244	mṯlṯt	mṯlṯ(t/t	mṯlṯt	n. f. sg. abs. gen.	the third (one)	
172245	x	?	?	?	?	
# KTU 1.98 4						
172246	w	w	w	conj.	and	
172247	tdˤ	!t!(ydˤ[:w	/y-d-ʕ/ (I)	vb G prefc. 3 m. pl.	1) to know	
172248	d	d	d	det. or rel. functor	the one(s) of	
# KTU 1.98 5						
172249	klm	kl/m	kl	n. m. pl. abs. nom.	totality (of)	
172250	lt	lt	lt	?	?	
# KTU 1.98 6						
172251	b	b	b	prep.	in	
172252	bhty	b&ht(II)/+y	bt (II)	n. m. cstr. gen.	house	
# KTU 1.98 7						
172253	gˤl	gˤl	gʕl	?	?	
172254	p	p(III)/	p (III)	n. m. sg. cstr. nom.	mouth	
# KTU 1.98 8						
172255	bˤl	bˤl(II)/	bʕl (II)	n. m. pl. abs. gen.	Baʿlu/Baal	
172255	bˤl	bˤl(II)/	bʕl (II)	n. m. sg. abs. gen.	Baʿlu/Baal	
172256	x	?	?	?	?	
# KTU 1.98 9						
172257	x	?	?	?	?	
# KTU 1.98 10						
172258	x	?	?	?	?	
# KTU 1.98 11						
172259	r	?	?	?	?	DULAT: NOT FOUND
