id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.100 1						
151708	um	um/	ủm	n. f. sg.	mother	
151709	pḥl	pḥl/	pḥl	n. m. sg.	ass	
151710	pḥlt	pḥl/t	pḥl	n. f. sg.	ass	
151710	pḥlt	pḥl(t/t	pḥlt	n. f. sg.	mare	
151711	bt	bt(II)/	bt (II)	n. m. sg.	house	
151711	bt	b(t(I)/t	bt (I)	n. f. sg.	daughter	
151712	ˤn	ˤn(I)/	ʕn (I)	n. f. du. cstr.	eye	
151712	ˤn	ˤn(I)/	ʕn (I)	n. f. sg. cstr.	eye	
151712	ˤn	ˤn(I)/	ʕn (I)	n. f. sg.	eye	
151712	ˤn	ˤn[	/ʕ-n/	vb G impv. 2	to see	
151712	ˤn	ˤn(II)/	ʕn (II)	n. f. sg.	furrow	
151713	bt	bt(II)/	bt (II)	n. m. sg.	house	
151713	bt	b(t(I)/t	bt (I)	n. f. sg.	daughter	
151714	abn	ab/+n	ảb	n. m. cstr.	father	
151714	abn	abn/	ảbn	n. f. pl. cstr.	stone	
151714	abn	abn/	ảbn	n. f. sg.	stone	
151714	abn	!(ʔ&a!bn[	/b-n/	vb G prefc. 1 c. sg.	to understand	
151715	bt	bt(II)/	bt (II)	n. m. sg.	house	
151715	bt	b(t(I)/t	bt (I)	n. f. sg.	daughter	
151716	šmm	šm(m(I)/m	šmm (I)	n. m. pl.	heavens	
151717	w	w	w	conj.	and	
151718	thm	thm/	thm	DN m. sg.	DN m. the Ocean/Primordial Ocean	
151718	thm	thm/	thm	n. m. sg.	ocean	
# KTU 1.100 2						
151719	qrit	qr(ʔ&i[t	/q-r-ʔ/	vb G suffc. 1 c. sg.	to call	
151720	l	l(I)	l (I)	prep.	to	
151721	špš	špš/	špš	DN f. sg.	Šapšu/Shapsh/Shapshu	
151721	špš	špš/	špš	n. f. sg.	sun	
151722	umh	um/h	ủm	n. f. sg.	mother	
151723	špš	špš/	špš	DN f. sg.	Šapšu/Shapsh/Shapshu	
151723	špš	špš/	špš	n. f. sg.	sun	
151724	um	um/	ủm	n. f. sg.	mother	
151725	ql	ql[	/q-l/	vb G suffc. 3 m. sg.	to fall (down)	
151725	ql	ql[	/q-l/	vb G impv. 2	to fall (down)	
151725	ql	ql(I)/	ql (I)	n. m. sg.	voice	
151726	bl	bl(I)	bl (I)	adv. or emph. functor	no	
151726	bl	bl(II)	bl (II)	prep.	without	
151726	bl	bl(III)/	bl (III)	n. m. sg.	blended beer	
151727	ˤm	ˤm(I)	ʕm (I)	prep.	to	
# KTU 1.100 3						
151728	il	il(I)/	ỉl (I)	DN m. sg.	ʾIlu/Ilu/El	
151728	il	il(I)/	ỉl (I)	DN m. sg. cstr.	ʾIlu/Ilu/El	
151728	il	il(I)/	ỉl (I)	n. m. sg.	god	
151728	il	il(I)/	ỉl (I)	n. m. sg. cstr.	god	
151729	mbk	mbk/	mbk	n. m. sg.	source	
151730	nhrm	nhr/+m(I)	nhr	n. m. cstr.	river	
151731	b	b	b	prep.	in	
151732	ˤdt	ˤd(t(I)/t	ʕdt (I)	n. f. sg.	assembly	
151732	ˤdt	ˤd(t(II)/t	ʕdt (II)	n. f. sg.	date	
151733	thmtm	thm(t/tm	thmt	n. f. du.	Primordial Ocean	
# KTU 1.100 4						
151734	mnt	mn(t(I)/t	mnt (I)	n. f. sg.	portion	
151735	nṯk	nṯk(II)/	nṯk (II)	n. m. pl. abs.	bite	
151735	nṯk	nṯk(II)/	nṯk (II)	n. m. sg. abs.	bite	
151735	nṯk	nṯk(I)/	nṯk (I)	n. m. sg.	biter	
151735	nṯk	nṯk[	/n-ṯ-k/	vb G prefc.	to bite	
151736	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151737	šmrr	šmrr/	šmrr	n. m. sg. cstr.	poisoning	
151738	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
# KTU 1.100 5						
151739	ˤxqšr	?	?	?	?	DULAT: NOT FOUND
151740	lnh	l(I)+h	l (I)	prep.	to	
151741	mlḫš	mlḫš/	mlḫš	n. m. sg.	conjuror	
151742	abd	(ʔ&abd[	/ʔ-b-d/	vb G suffc. 3 m. sg.	be missing	
151742	abd	abd(I)/	ảbd (I)	n. m. sg.	ruin	
151743	lnh	l(I)+h	l (I)	prep.	to	
151744	ydy	yd(I)/+y	yd (I)	n. f. cstr.	hand	
151744	ydy	!y!(ydy(I)[	/y-d-y/ (I)	vb G prefc. 3 m. sg.	to throw	
151744	ydy	!y!(ydy(I)[	/y-d-y/ (I)	vb G impv. 3 m. sg.	to throw	
151744	ydy	!!ydy(I)[/	/y-d-y/ (I)	vb G inf.	to throw	
151744	ydy	ydy(I)[/	/y-d-y/ (I)	vb G act. ptcpl. m. sg.	to throw	
151744	ydy	!y!(ydy(II)[	/y-d-y/ (II)	vb G	to rip	
# KTU 1.100 6						
151745	ḥmt	ḥm(t(III)/t	ḥmt (III)	n. f. sg.	venom	
151745	ḥmt	ḥm(t(I)/t	ḥmt (I)	n. f. sg.	wall	
151746	hlm	hlm	hlm	conj. functor	and so	
151746	hlm	hlm[	/h-l-m/	vb G prefc.	to hit	
151746	hlm	hlm[	/h-l-m/	vb G suffc. 3 m. sg.	to hit	
151746	hlm	hl~m	hl	deictic adv. functor	behold	
151747	yṯq	!y!ṯq(y[:d	/ṯ-q-y/	vb D prefc. 3 m. sg.	to elevate	
151748	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151749	yšlḥm	!y!]š]lḥm(I)[	/l-ḥ-m/ (I)	vb Š prefc. 3 m. sg.	to eat	
151750	nḥšˤqšr	?	?	?	?	DULAT: NOT FOUND
# KTU 1.100 7						
151751	yˤdb	!y!ˤdb[	/ʕ-d-b/	vb G prefc. 3 m. sg.	to leave > to put in	
151752	ksa	ksa/	ksả	DN sg.	second component of the double-barrelled divine name yrḫ w ksả, a lunar deity	
151753	w	w	w	conj.	and	
151754	yṯb	!y!(yṯb[	/y-ṯ-b/	vb G prefc. 3 m. sg.	to sit down	
151754	yṯb	yṯb[	/y-ṯ-b/	vb G suffc. 3 m. sg.	to sit down	
151754	yṯb	yṯb[/	/y-ṯ-b/	vb G act. ptcpl. m. sg.	to sit down	
# KTU 1.100 8						
151755	tqru	!t!qr(ʔ[&u	/q-r-ʔ/	vb G prefc.	to call	
151756	l	l(I)	l (I)	prep.	to	
151757	špš	špš/	špš	DN f. sg.	Šapšu/Shapsh/Shapshu	
151757	špš	špš/	špš	n. f. sg.	sun	
151758	umh	um/h	ủm	n. f. sg.	mother	
151759	špš	špš/	špš	DN f. sg.	Šapšu/Shapsh/Shapshu	
151759	špš	špš/	špš	n. f. sg.	sun	
151760	um	um/	ủm	n. f. sg.	mother	
151761	ql	ql[	/q-l/	vb G suffc. 3 m. sg.	to fall (down)	
151761	ql	ql[	/q-l/	vb G impv. 2	to fall (down)	
151761	ql	ql(I)/	ql (I)	n. m. sg.	voice	
151762	bl	bl(I)	bl (I)	adv. or emph. functor	no	
151762	bl	bl(II)	bl (II)	prep.	without	
151762	bl	bl(III)/	bl (III)	n. m. sg.	blended beer	
# KTU 1.100 9						
151763	ˤm	ˤm(I)	ʕm (I)	prep.	to	
151764	bˤl	bˤl(II)/	bʕl (II)	n. m. pl. cstr.	Baʿlu/Baal	
151764	bˤl	bˤl(II)/	bʕl (II)	n. m. sg.	Baʿlu/Baal	
151764	bˤl	bˤl[/	/b-ʕ-l/	vb G act. ptcpl. m. sg.	to make	
151765	mrym	mrym/	mrym	n. m. sg.	height	
151766	ṣpn	ṣpn/	ṣpn	TN/DN sg.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
151767	mnty	mn(t(I)/t	mnt (I)	n. f. sg.	portion	
151768	nṯk	nṯk(II)/	nṯk (II)	n. m. pl. abs.	bite	
151768	nṯk	nṯk(II)/	nṯk (II)	n. m. sg. abs.	bite	
151768	nṯk	nṯk(I)/	nṯk (I)	n. m. sg.	biter	
151768	nṯk	nṯk[	/n-ṯ-k/	vb G prefc.	to bite	
# KTU 1.100 10						
151769	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151770	šmrr	šmrr/	šmrr	n. m. sg. cstr.	poisoning	
151771	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151772	ˤqšr	aqšr/	ảqšr	adj. m.	which sloughs its skin	
151773	lnh	l(I)+h	l (I)	prep.	to	
# KTU 1.100 11						
151774	mlḫš	mlḫš/	mlḫš	n. m. sg.	conjuror	
151775	abd	(ʔ&abd[	/ʔ-b-d/	vb G suffc. 3 m. sg.	be missing	
151775	abd	abd(I)/	ảbd (I)	n. m. sg.	ruin	
151776	lnh	l(I)+h	l (I)	prep.	to	
151777	ydy	yd(I)/+y	yd (I)	n. f. cstr.	hand	
151777	ydy	!y!(ydy(I)[	/y-d-y/ (I)	vb G prefc. 3 m. sg.	to throw	
151777	ydy	!y!(ydy(I)[	/y-d-y/ (I)	vb G impv. 3 m. sg.	to throw	
151777	ydy	!!ydy(I)[/	/y-d-y/ (I)	vb G inf.	to throw	
151777	ydy	ydy(I)[/	/y-d-y/ (I)	vb G act. ptcpl. m. sg.	to throw	
151777	ydy	!y!(ydy(II)[	/y-d-y/ (II)	vb G	to rip	
151778	ḥmt	ḥm(t(III)/t	ḥmt (III)	n. f. sg.	venom	
151778	ḥmt	ḥm(t(I)/t	ḥmt (I)	n. f. sg.	wall	
151779	hlm	hlm	hlm	conj. functor	and so	
151779	hlm	hlm[	/h-l-m/	vb G prefc.	to hit	
151779	hlm	hlm[	/h-l-m/	vb G suffc. 3 m. sg.	to hit	
151779	hlm	hl~m	hl	deictic adv. functor	behold	
151780	yṯq	!y!ṯq(y[:d	/ṯ-q-y/	vb D prefc. 3 m. sg.	to elevate	
# KTU 1.100 12						
151781	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151782	yšlḥm	!y!]š]lḥm(I)[	/l-ḥ-m/ (I)	vb Š prefc. 3 m. sg.	to eat	
151783	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151784	ˤqšr	aqšr/	ảqšr	adj. m.	which sloughs its skin	
151785	yˤdb	!y!ˤdb[	/ʕ-d-b/	vb G prefc. 3 m. sg.	to leave > to put in	
151786	ksa	ksa/	ksả	DN sg.	second component of the double-barrelled divine name yrḫ w ksả, a lunar deity	
# KTU 1.100 13						
151787	w	w	w	conj.	and	
151788	yṯb	!y!(yṯb[	/y-ṯ-b/	vb G prefc. 3 m. sg.	to sit down	
151788	yṯb	yṯb[	/y-ṯ-b/	vb G suffc. 3 m. sg.	to sit down	
151788	yṯb	yṯb[/	/y-ṯ-b/	vb G act. ptcpl. m. sg.	to sit down	
# KTU 1.100 14						
151789	tqru	!t!qr(ʔ[&u	/q-r-ʔ/	vb G prefc.	to call	
151790	lšpš	?	?	?	?	DULAT: NOT FOUND
151791	umh	um/h	ủm	n. f. sg.	mother	
151792	špš	špš/	špš	DN f. sg.	Šapšu/Shapsh/Shapshu	
151792	špš	špš/	špš	n. f. sg.	sun	
151793	um	um/	ủm	n. f. sg.	mother	
151794	ql	ql[	/q-l/	vb G suffc. 3 m. sg.	to fall (down)	
151794	ql	ql[	/q-l/	vb G impv. 2	to fall (down)	
151794	ql	ql(I)/	ql (I)	n. m. sg.	voice	
151795	bl	bl(I)	bl (I)	adv. or emph. functor	no	
151795	bl	bl(II)	bl (II)	prep.	without	
151795	bl	bl(III)/	bl (III)	n. m. sg.	blended beer	
151796	ˤm	ˤm(I)	ʕm (I)	prep.	to	
# KTU 1.100 15						
151797	dgn	dgn(I)/	dgn (I)	n. m. sg.	grain	
151798	ttlh	ttl/	ttl	TN sg.	ttl	
151799	mnt	mn(t(I)/t	mnt (I)	n. f. sg.	portion	
151800	nṯk	nṯk(II)/	nṯk (II)	n. m. pl. abs.	bite	
151800	nṯk	nṯk(II)/	nṯk (II)	n. m. sg. abs.	bite	
151800	nṯk	nṯk(I)/	nṯk (I)	n. m. sg.	biter	
151800	nṯk	nṯk[	/n-ṯ-k/	vb G prefc.	to bite	
151801	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151802	šmrr	šmrr/	šmrr	n. m. sg. cstr.	poisoning	
# KTU 1.100 16						
151803	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151804	ˤqšr	aqšr/	ảqšr	adj. m.	which sloughs its skin	
151805	lnh	l(I)+h	l (I)	prep.	to	
151806	mlḫš	mlḫš/	mlḫš	n. m. sg.	conjuror	
151807	abd	(ʔ&abd[	/ʔ-b-d/	vb G suffc. 3 m. sg.	be missing	
151807	abd	abd(I)/	ảbd (I)	n. m. sg.	ruin	
151808	lnh	l(I)+h	l (I)	prep.	to	
# KTU 1.100 17						
151809	ydy	yd(I)/+y	yd (I)	n. f. cstr.	hand	
151809	ydy	!y!(ydy(I)[	/y-d-y/ (I)	vb G prefc. 3 m. sg.	to throw	
151809	ydy	!y!(ydy(I)[	/y-d-y/ (I)	vb G impv. 3 m. sg.	to throw	
151809	ydy	!!ydy(I)[/	/y-d-y/ (I)	vb G inf.	to throw	
151809	ydy	ydy(I)[/	/y-d-y/ (I)	vb G act. ptcpl. m. sg.	to throw	
151809	ydy	!y!(ydy(II)[	/y-d-y/ (II)	vb G	to rip	
151810	ḥmt	ḥm(t(III)/t	ḥmt (III)	n. f. sg.	venom	
151810	ḥmt	ḥm(t(I)/t	ḥmt (I)	n. f. sg.	wall	
151811	hlm	hlm	hlm	conj. functor	and so	
151811	hlm	hlm[	/h-l-m/	vb G prefc.	to hit	
151811	hlm	hlm[	/h-l-m/	vb G suffc. 3 m. sg.	to hit	
151811	hlm	hl~m	hl	deictic adv. functor	behold	
151812	yṯq	!y!ṯq(y[:d	/ṯ-q-y/	vb D prefc. 3 m. sg.	to elevate	
151813	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151814	yšlḥm	!y!]š]lḥm(I)[	/l-ḥ-m/ (I)	vb Š prefc. 3 m. sg.	to eat	
# KTU 1.100 18						
151815	nḥš	nḥš/	nḥš	n. m. sg.	serpent	
151816	ˤqšr	aqšr/	ảqšr	adj. m.	which sloughs its skin	
151817	yˤdb	!y!ˤdb[	/ʕ-d-b/	vb G prefc. 3 m. sg.	to leave > to put in	
