id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.24 1						
147627	ašr	!a!šr(I)[	/š-r/ (I)	vb G	to sing	
147628	nkl	nkl/	nkl	DN	nkl	
147629	wib	?	?	?	?	DULAT: NOT FOUND
# KTU 1.24 2						
147630	ḫrḫb	ḫrḫb/	ḫrḫb	DN	ḫrḫb	
147631	mlk	mlk[	/m-l-k/	vb G	to reign	
147631	mlk	mlk(II)/	mlk (II)	n. m.	kingdom (power and territory)	
147632	qẓ	qẓ/	qẓ	n. m.	summer	
147633	ḫrḫb	ḫrḫb/	ḫrḫb	DN	ḫrḫb	
147634	m	l(I)	l (I)	prep.	to	
# KTU 1.24 3						
147635	lk	l(I)+k	l (I)	prep.	to	
147636	aġzt	aġz(t/t	ảġzt	n. f.	wedding	
147637	b	b	b	prep.	in	
147638	srr	srr[	/s-r-r/	vb G	to set	
147639	špš	špš/	špš	n.	sun	
# KTU 1.24 4						
147640	yrḫ	yrḫ/	yrḫ	n. m.	moon	
147641	yṯkḥ	!y!ṯkḥ[	/ṯ-k-ḥ/	vb G	to burn	
147642	yḥbq	!y!ḥbq[	/ḥ-b-q/	vb G	to embrace	
147643	dt	d	d	det. or rel. functor	the one(s) of	
# KTU 1.24 5						
147644	tld	yld[	/y-l-d/	vb G	to give birth (to)	
147645	b	b	b	prep.	in	
147646	tṯrt	?	?	?	?	DULAT: NOT FOUND
147647	ḫrxx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.24 6						
147648	ṯrt	ṯr(t/t	ṯrt	n. f.	abundance	
147649	l	l(IV)	l (IV)	interj.	oh!	
147650	bnt	bn(t(II)/t	bnt (II)	n. f.	produce	
147650	bnt	bn(t(I)/t	bnt (I)	n. f.	masonry	
147650	bnt	bnt(III)/	bnt (III)	n. m.	tamarisk	
147651	hll	hll/	hll	DN	New Moon	
147652	snnt	snn(t/t=	snnt	n. f.	swallow	
# KTU 1.24 7						
147653	hl	hl	hl	deictic adv. functor	behold	
147654	ġlmt	ġlm(t(I)/t	ġlmt (I)	n. f.	damsel	
147654	ġlmt	ġlm(t(II)/t	ġlmt (II)	n. f.	concealment	
147655	tld	yld[	/y-l-d/	vb G	to give birth (to)	
147656	bnxxx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.24 8						
147657	ˤnha	?	?	?	?	DULAT: NOT FOUND
147658	l	l(I)	l (I)	prep.	to	
147658	l	l(III)	l (III)	functor	certainly	
147659	ydh	yd(I)/+h	yd (I)	n. f.	hand	
147660	tzdn	!t!zd[	/z-d/	vb G	to boil	
147661	š	š/	š	n. m.	ram	
# KTU 1.24 9						
