id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.23 1						
167307	iqra	!(ʔ&i!qr(ʔ[&a	/q-r-ʔ/	vb G prefc. 1 c. sg.	to call, shout, invite	
167308	ilm	il(I)/m	ỉl (I)	n. m. pl. cstr. nom.	1) god c) object or purpose of an action	
167309	nˤmm	nˤm(II)/m	nʕm (II)	n. m. pl. abs. gen.	grace	
# KTU 1.23 2						
167310	w	w	w	conj.	and	
167311	ysmm	ysm(II)/~m	ysm (II)	n. m. sg. cstr. nom.	elegance	
167312	bn	bn(I)/	bn (I)	n. m. sg. cstr. gen.	son	
167313	šp	šp/	šp	n. m. abs. gen.	dune	
# KTU 1.23 3						
167314	ytnm	!y!(ytn[m	/y-t-n/	vb	1) to be given	
167315	qrt	qr(t(I)/t	qrt (I)	n. f. sg. abs. nom.	city	
167316	l	l(I)	l (I)	prep.	to	
167316	l	l(II)	l (II)	adv.	no	
167316	l	l(III)	l (III)	functor	certainly	
167317	ˤly	ˤly[	/ʕ-l-y/	vb G suffc. 3 m. sg.	to go up	
# KTU 1.23 4						
167318	b	b	b	prep.	in	
167319	mdbr	mdbr/	mdbr	n. m. sg. cstr. gen.	desert	
167320	špm	šp/m	šp	n. m. pl. abs. gen.	dune	
167321	ydr	!y!(ndr[	/n-d-r/	vb G prefc. 3 m. sg.	to make a vow	
# KTU 1.23 5						
167322	l	l(I)	l (I)	prep.	to	
167323	rišhm	riš(I)/+hm	rỉš (I)	n. m. cstr. gen.	5) used as a prep	
167324	w	w	w	conj.	and	
167325	yšxm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.23 6						
167326	lḥm	lḥm[	/l-ḥ-m/ (I)	vb G suffc. 3 m. sg.	1) to eat	
167326	lḥm	lḥm[:w	/l-ḥ-m/ (I)	vb G suffc. 3 m. pl.	1) to eat	
167326	lḥm	lḥm(I)[	/l-ḥ-m/ (I)	vb G impv. 2	1) to eat	
167326	lḥm	!!lḥm(I)[/	/l-ḥ-m/ (I)	vb G inf.	1) to eat	
167326	lḥm	lḥm/	lḥm	n. m. sg. abs. nom.	2) bread	
167326	lḥm	lḥ(I)/m	lḥ (I)	n. f. pl. abs. nom.	cheek	
167327	b	b	b	prep.	in	
167328	lḥm	lḥm[	/l-ḥ-m/ (I)	vb G suffc. 3 m. sg.	1) to eat	
167328	lḥm	lḥm[:w	/l-ḥ-m/ (I)	vb G suffc. 3 m. pl.	1) to eat	
167328	lḥm	lḥm(I)[	/l-ḥ-m/ (I)	vb G impv. 2	1) to eat	
167328	lḥm	!!lḥm(I)[/	/l-ḥ-m/ (I)	vb G inf.	1) to eat	
167328	lḥm	lḥm/	lḥm	n. m. sg. abs. gen.	2) bread	
167328	lḥm	lḥ(I)/m	lḥ (I)	n. f. pl. abs. gen.	cheek	
167329	ay	ay/	ảy	adj. m. sg. abs. nom.	anyone	
167330	w	w	w	conj.	and	
167331	šty	šty[	/š-t-y/	vb G suffc. 3 m. sg.	to drink	
167331	šty	šty[	/š-t-y/	vb G impv. 2	to drink	
167331	šty	!!šty[/	/š-t-y/	vb G inf.	to drink	
167332	b	b	b	prep.	in	
167333	ḫmr	ḫmr/	ḫmr	n. m. sg. cstr. gen.	(sparkling(?)) wine	
167334	yn	yn/	yn	n. m. sg. abs. gen.	1) wine c) with ellipsis of yn	
167335	ay	ay/	ảy	adj. m. sg. abs. nom.	anyone	
# KTU 1.23 7						
167336	šlm	šlm(I)/	šlm (I)	n. m. sg. cstr. nom.	1) peace b) in greeting formulae	
167337	mlk	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	1) king a) human sovereign in gen	
167338	šlm	šlm(I)/	šlm (I)	n. m. sg. cstr. gen.	1) peace b) in greeting formulae	
167339	mlkt	mlk(t/t	mlkt	n. f. sg. cstr. gen.	1) queen a) in gen	
167340	ˤrbm	ˤrb(II)/m	ʕrb (II)	n. m. pl. abs. gen.	officiant	
167341	w	w	w	conj.	and	
167342	ṯnnm	ṯnn(I)/m	ṯnn (I)	n. m. pl. cstr. nom.	1) archer a) ṯnnm	
# KTU 1.23 8						
167343	mt	mt(II)/	mt (II)	DN m. sg. abs. gen.	Mot/Death	
167343	mt	mt(II)/	mt (II)	n. m. sg. abs. gen.	2) DN < “Death” c) DN + DN	
167343	mt	mt[/	/m-t/	vb G ptcpl. m. sg. abs. gen.	to die	
167343	mt	mt(I)/	mt (I)	n. m. sg. abs. gen.	dead person	
167344	w	w	w	conj.	and	
167345	šr	šr(II)/	šr (II)	n. m. sg. cstr. nom.	musician	
167345	šr	šr(III)/	šr (III)	n. m. sg. cstr. nom.	Prince	
167346	yṯb	yṯb[/	/y-ṯ-b/	vb G act. ptcpl. m. sg. abs. gen.	to sit down, take a seat on the throne, install oneself, reside	
167347	bdh	bd(IV)+h	bd (IV)	prep.	1) into the hands of	
167348	ḫṭ	ḫṭ/	ḫṭ	n. m. sg. abs. nom.	1) sceptre	
167349	ṯkl	ṯkl/	ṯkl	n. m. sg. abs. nom.	sterility	
167350	bdh	bd(IV)+h	bd (IV)	prep.	1) into the hands of	
# KTU 1.23 9						
167351	ḫṭ	ḫṭ/	ḫṭ	n. m. sg. abs. nom.	sceptre	
167352	ulmn	ulmn/	ủlmn	n. m. sg. abs. nom.	widowhood	
167353	yzbrnn	!y!zbr[+nn	/z-b-r/	vb G prefc. 3 m. sg.	to prune	
167354	zbrm	zbr[/m	/z-b-r/	vb G act. ptcpl. m. sg. cstr. nom.	to prune	
167355	gpn	gpn(I)/	gpn (I)	n. m. sg. abs. gen.	(vine-)stock	DULAT quote in gpn (I) (cue: stock)
# KTU 1.23 10						
167356	yṣmdnn	!y!ṣmd[+nn	/ṣ-m-d/	vb G prefc. 3 m. sg.	to harness, yoke	
167357	ṣmdm	ṣmd/m	ṣmd	n. m. pl. cstr. nom.	pair	
167357	ṣmdm	ṣmd[/m	/ṣ-m-d/	vb G act. ptcpl. m. sg. cstr. nom.	to harness, yoke	
167358	gpn	gpn(I)/	gpn (I)	n. m. sg. abs. gen.	(vine-)stock	DULAT quote in /ṣ-m-d/ (cue: vine)
167359	yšql	?	?	?	?	DULAT candidates (no reconstructable encoding): /q-l/ - 1) to cause to fall
167360	šdmth	šdm(t/t+h	šdmt	n. f. sg. cstr. nom.	terrace	
# KTU 1.23 11						
167361	km	km	km	prep./conj./adv.		
167362	gpn	gpn(I)/	gpn (I)	n. m. sg. abs. gen.	(vine-)stock	
167362	gpn	gpn(II)/	gpn (II)	n. m. sg. abs. gen.	harness	
# KTU 1.23 12						
167363	šbˤd	šbˤd	šbʕ(ỉ)d	adv.	seven times	
167364	yrgm	!y!rgm[	/r-g-m/	vb G prefc. 3 m. sg.	to say, tell, announce, communicate, inform	
167364	yrgm	!y!rgm[:pass	/r-g-m/	vb Gpass prefc. 3 m. sg.	to answer	
167365	ˤl	ˤl(III)/	ʕl (III)	n. m. sg. cstr. nom.	offspring	
167366	ˤd	ˤd(III)/	ʕd (III)	n. m. sg. abs. gen.	throne	DULAT quote in ʕd (III) (cue: throne)
167367	w	w	w	conj.	and	
167368	ˤrbm	ˤrb(II)/m	ʕrb (II)	n. m. pl. abs. nom.	officiant	
167369	tˤnyn	!t!ˤny(I)[+n	/ʕ-n-y/ (I)	vb G prefc.	1) to answer	
# KTU 1.23 13						
167370	w	w	w	conj.	and	
167371	šd	šd(I)/	šd (I)	n. m. sg. cstr. nom.	2) stretch of cultivated land	
167371	šd	šd(II)/	šd (II)	n. m. sg. cstr. nom.	a strip	
167372	šd	šd(I)/	šd (I)	n. m. sg. cstr. gen.	2) stretch of cultivated land	
167372	šd	šd(II)/	šd (II)	n. m. sg. cstr. gen.	a strip	
167373	ilm	il(I)/m	ỉl (I)	n. m. pl. cstr. gen.	2) DN d) El’s possessions or property (often to be understood as in 1. g)	
167374	šd	šd(I)/	šd (I)	n. m. sg. cstr. gen.	2) stretch of cultivated land	
167374	šd	šd(II)/	šd (II)	n. m. sg. cstr. gen.	a strip	
167375	aṯrt	aṯr(t(I)/t	ảṯrt (I)	n. f. sg. abs. gen.	back part (of the head)	
167376	w	w	w	conj.	and	
167377	rḥmy	rḥm/+y	rḥm	n. f. cstr. nom.	womb	
167377	rḥmy	rḥ(III)/m+y	rḥ (III)	n. m. cstr. nom.	millstone	
167377	rḥmy	rḥmy/	rḥmy	DN sg. cstr. nom.	rḥmy	
# KTU 1.23 14						
167378	ˤl	ˤl(III)/	ʕl (III)	n. m. sg. cstr. gen.	offspring	
167379	išt	iš(t/t	ỉšt	n. f. sg. abs. gen.	1) fire	
167380	šbˤd	šbˤd	šbʕ(ỉ)d	adv.	seven times	
167381	ġzrmṭbg	?	?	?	?	DULAT: NOT FOUND
167382	ṭb	ṭb/	ṭb	adj. m. sg. abs. nom.	1) good	
167383	gd	gd(I)/	gd (I)	n. m. abs. nom.	coriander	
