id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.101 1						
152181	bˤl	bˤl(II)/	bʕl (II)	n. m. / DN	Baʿlu/Baal	
152181	bˤl	bˤl[/	/b-ʕ-l/	vb G act. ptcpl. m.	to make	
152182	yṯb	!y!(yṯb[	/y-ṯ-b/	vb G prefc. / vb G suffc.	to sit down	
152182	yṯb	(yṯb[/	/y-ṯ-b/	vb G act. ptcpl.	to sit down	
152183	k	+k	-k (I)			
152183	k	~k	-k (II)			
152183	k	k(III)	k (III)	Subordinating or completive functor	when	
152183	k	k(I)	k (I)	prep.	like	
152183	k	k(II)	k (II)	emph. functor	yes	
152184	ṯbt	ṯb(t/t	ṯbt	n. f. sg.	seat	
152185	ġr	ġr(I)/	ġr (I)	n. m. sg.	mountain	
152186	hd	hd/	hd(d)	DN	Haddu/Hadad	
152187	k	+k	-k (I)			
152187	k	~k	-k (II)			
152187	k	k(III)	k (III)	Subordinating or completive functor	when	
152187	k	k(I)	k (I)	prep.	like	
152187	k	k(II)	k (II)	emph. functor	yes	
# KTU 1.101 2						
152188	k	+k	-k (I)			
152188	k	~k	-k (II)			
152188	k	k(III)	k (III)	Subordinating or completive functor	when	
152188	k	k(I)	k (I)	prep.	like	
152188	k	k(II)	k (II)	emph. functor	yes	
152189	mdb	mdb/	mdb	n. m. sg.	tide	
152190	b	b	b	prep.	in	
152191	tk	tk/	tk	n. m.	centre	
152192	ġrh	ġr(I)/h	ġr (I)	n. m. sg.	mountain	
152193	il	il(I)/	ỉl (I)	n. m.	god	
152194	ṣpn	ṣpn/	ṣpn	TN/DN	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
152195	bġ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.101 3						
152196	ġr	ġr(I)/	ġr (I)	n. m. sg.	mountain	
152196	ġr	ġr(III)/	ġr (III)	n. m. sg.	skin	
152197	tliyt	tliy(t/t	tlỉyt	n. f. sg.	triumph	
152198	šbˤt	šbˤ(I)/	šbʕ (I)	n. sg. num.	seven	
152199	brqm	brq(I)/m	brq (I)	n. m. pl.	ray	
152200	ṯ	ṯ	ṯ	→	?	
# KTU 1.101 4						
152201	ṯmnt	ṯmn(I)/	ṯmn(y) (I)	num.	eight	
152202	iṣr	iṣr/	ỉṣr	n. m. pl.	?	
152203	rˤt	rˤ(t/t	rʕt	n. f. sg.	thunder	
152203	rˤt	rˤ(t/t=	rʕt	n. f. sg.	thunder	
152204	ˤṣ	ˤṣ/	ʕṣ	n. m. sg.	tree	
152205	brq	brq(I)/	brq (I)	n. m. sg.	ray	
152206	yry	!y!(yry[+y	/y-r-y/	vb	to fire	
152206	yry	yry/	yry	PN	yry	
152206	yry	yr/+y	yr	n. m.	early rain	
# KTU 1.101 5						
152207	rišh	riš(I)/h	rỉš (I)	n. m. sg.	head	
152208	tply	!t!ply[	/p-l-y/	vb G prefc.	to distinguish	
152209	ṭly	ṭl/+y	ṭl	n. m.	dew	
152209	ṭly	ṭly/	ṭly	DN	Tallay	
152210	bn	bn(I)/	bn (I)	n. m. sg. / n. m. pl. cstr.	son	
152210	bn	bn(II)	bn (II)	prep.	between	
152210	bn	bn[	/b-n/	vb G suffc. / vb G impv.	to understand	
152211	ˤnh	ˤn(I)/h	ʕn (I)	n. f. du.	eye	
# KTU 1.101 6						
152212	uzˤrt	uzˤr(t/t	ủzʕrt	adj. f. sg.	the smallest	
152213	tmll	?	?	?	?	DULAT: NOT FOUND
152214	išdh	išd/+h	ỉšd	n. m. pl. / n. m. du.	leg	
152215	qrnm	qrn/m	qrn	n. f. du.	horn	
# KTU 1.101 7						
152216	dt	d	d	det. or rel. functor	the one(s) of	
152217	ˤlh	ˤl(I)+h	ʕl (I)	prep.	upon	
152218	rišh	riš(I)/h	rỉš (I)	n. m. sg.	head	
152219	b	b	b	prep.	in	
152220	glṯ	glṯ/	glṯ	n. m. sg.	storm	
152221	b	b	b	prep.	in	
152222	šmm	šm(m(I)/m	šmm (I)	n. m. pl./du. tant.	heavens	
# KTU 1.101 8						
152223	yšil	?	?	?	?	DULAT: NOT FOUND
152224	ṯrm	ṯr(I)/m	ṯr (I)	n. m. pl.	bull	
152224	ṯrm	!!ṯrm[/	/ṯ-r-m/	vb G inf.	to break	
152225	iṯ	iṯ(I)/	ỉṯ (I)	n. m. sg.	presence	
152226	ph	p(III)/+h	p (III)	n. m.	mouth	
