id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.121 1						
173732	u	u	ủ	conj.	or	
173733	b	b	b	prep.	in	
173734	qṭt	qṭ(t/t	qṭt	n. f. sg. abs. gen.	transgression	
173735	tqṭṭ	!t!qṭṭ[:l	/q-ṭ(-ṭ)/	vb L prefc.	to commit transgression	
# KTU 1.121 2						
173736	u	u	ủ	conj.	or	
173737	šn	šn(w[	/š-n-w/	vb G suffc. 3 m. sg.	to change: a) reflex.	
173737	šn	šnw[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
173737	šn	šn(w[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
173738	ypkm	yp/+km	yp	n. m. cstr. nom.	dignity	
173739	l	l(I)	l (I)	prep.	to	
173740	dbḥm	dbḥ/m	dbḥ	n. m. pl. abs. gen.	sacrifice	
# KTU 1.121 3						
173741	w	w	w	conj.	and	
173742	l	l(I)	l (I)	prep.	to	
173743	ṯˤ	ṯˤ(II)/	ṯʕ (II)	n. m. sg. cstr. gen.	Hero	
173743	ṯˤ	ṯˤ(I)/	ṯʕ (I)	n. m. sg. cstr. gen.	offering	
173744	dbḥn	dbḥ/+n	dbḥ	n. m. cstr. gen.	sacrifice	
# KTU 1.121 4						
173745	ndbḥ	!n!dbḥ[	/d-b-ḥ/	vb G prefc. 1 c. pl.	to sacrifice	
173746	hw	hw	hw	pers. pn.	he	
173747	ṯˤ	ṯˤ(II)/	ṯʕ (II)	n. m. sg. abs. nom.	Hero	
173747	ṯˤ	ṯˤ(I)/	ṯʕ (I)	n. m. sg. abs. nom.	offering	
173748	nṯˤ	!n!ṯˤ(y[	/ṯ-ʕ-y/	vb G prefc. 1 c. pl.	to offer	
# KTU 1.121 5						
173749	y	~y	-y (II)	prep. functor	indeed	
173749	y	y	y	prep. functor	oh!	
173750	hw	hw	hw	pers. pn.	he	
173751	nkt	!n!(nkt[	/n-k-t/	vb G prefc. 1 c. pl.	to immolate	
173751	nkt	nkt/	nkt	n. m. sg. abs. nom.	immolation	
173752	nkt	!n!(nkt[	/n-k-t/	vb G prefc. 1 c. pl.	to immolate	
173752	nkt	nkt/	nkt	n. m. sg. abs. nom.	immolation	
# KTU 1.121 6						
173753	w	w	w	conj.	and	
173754	npy	npy/	npy	n. m. sg. abs. nom.	purification	
173755	gr	gr(y[	/g-r(-y)/	vb G suffc. 3 m. sg.	to attack	
173755	gr	gr(y[:w	/g-r(-y)/	vb G suffc. 3 m. pl.	to attack	
173755	gr	gr(I)/	gr (I)	n. m. pl. cstr. nom.	protected	
173755	gr	gr(I)/	gr (I)	n. m. sg. abs. nom.	protected	
173756	ḥmyt	ḥm&yt(I)/	ḥmt (I)	n. f. pl. cstr. nom.	wall	
173757		?	?	?	?	
# KTU 1.121 7						
173758	ugrt	ugrt/	ủgrt	TN sg. abs. gen.	Ugarit	
# KTU 1.121 8						
173759	w	w	w	conj.	and	
173760	npy	npy/	npy	n. m. sg. cstr. nom.	purification	
# KTU 1.121 9						
173761	nqmd	nqmd/	nqmd	PN sg. abs. gen.	Niqmaddu	
# KTU 1.121 10						
173762	u	u	ủ	conj.	or	
173763	šn	šn(w[	/š-n-w/	vb G suffc. 3 m. sg.	to change: a) reflex.	
173763	šn	šnw[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
173763	šn	šn(w[:w	/š-n-w/	vb G suffc. 3 m. pl.	to change: a) reflex.	
173764	ypkn	yp/+kn	yp	n. m. cstr. nom.	dignity	
# KTU 1.121 11						
173765	ulp	ulp(I)	l (I)	prep.	to	Based on DULAT reconstruction.
173765	ulp	ulp(II)	l (II)	adv.	no	Based on DULAT reconstruction.
173765	ulp	ulp(I)	p (I)	conj. functor	and	Based on DULAT reconstruction.
173765	ulp	u&lp	ủ	conj.	or	Based on DULAT reconstruction.
173765	ulp	ulp	ủlp	→	?	
