id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.137 1						
174286	l	l(I)	l (I)	prep.	to	
174287	x	?	?	?	?	
# KTU 1.137 2						
174288	r	?	?	?	?	DULAT: NOT FOUND
174289	il	il(I)/	ỉl (I)	DN m. sg. cstr. nom.	ʾIlu/Ilu/El	
174289	il	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	
174289	il	il(I)/	ỉl (I)	n. m. sg. cstr. nom.	god	
174289	il	il(I)/	ỉl (I)	n. m. sg. abs. nom.	god	
# KTU 1.137 3						
174290	xmt	?	?	?	?	DULAT: NOT FOUND
174291	w	w	w	conj.	and	
# KTU 1.137 4						
174292	bˤl	bˤl(II)/	bʕl (II)	n. m. pl. cstr. nom.	Baʿlu/Baal	
174292	bˤl	bˤl(II)/	bʕl (II)	n. m. sg. abs. nom.	Baʿlu/Baal	
174293	w	w	w	conj.	and	
# KTU 1.137 5						
174294	bt	b(t(I)/t	bt (I)	n. f. sg. cstr. nom.	daughter	
174295	mṯbth	?	?	?	?	DULAT candidates (no reconstructable encoding): mṯb - residence
# KTU 1.137 6						
174296	ydh	yd(I)/+h	yd (I)	n. f. cstr. gen.	hand	
174297	yx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.137 7						
174298	b	b	b	prep.	in	
174299	mzn	mzn/	mzn	n. m. sg. abs. gen.	1) weight	
174300	x	?	?	?	?	
# KTU 1.137 8						
174301	mṯbth	?	?	?	?	DULAT candidates (no reconstructable encoding): mṯb - 3) hut
# KTU 1.137 9						
174302	dm	dm(II)/	dm (II)	n. m. sg. abs. gen.	blood	
