id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.89 1						
179653	l	l(I)	l (I)	prep.	to	
179654	mlkt	mlk(t/t	mlkt	n. f. sg. cstr. gen.	queen	
179655	adty	ad(t/t+y	ảdt	n. f. sg. cstr. gen.	lady	
179656	rgm	!!rgm[	/r-g-m/	vb G impv. 2	to say, tell, announce, communicate, inform	
# KTU 2.89 2						
179657	tḥm	tḥm/	tḥm	n. m. sg. cstr. nom.	message	
179658	skn	skn(I)/	s:śkn (I)	n. m. sg. cstr. gen.	1) prefect	
179659	ˤbdk	ˤbd(I)/+k	ʕbd (I)	n. m. du. cstr. gen.	servant	
# KTU 2.89 3						
179660	l	l(I)	l (I)	prep.	to	
179661	pˤn	pˤn/	pʕn	n. f. cstr. gen.	at the feet of	
179662	bˤladty	?	?	?	?	DULAT candidates (no reconstructable encoding): ảdt - lady
179663	qlt	ql[t	/q-l/	vb G suffc. 1 c. sg.	to fall (down)	
# KTU 2.89 4						
179664	l	l(I)	l (I)	prep.	to	
179665	adty	ad(t/t+y	ảdt	n. f. sg. cstr. gen.	lady	
179666	yšlm	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg.	to be well, do well, be in peace	
# KTU 2.89 5						
179667	hlny	hlny	hlny	deictic adv. functor	behold	
179668	hnn	hnn	hnn	adv. functor	here	
179669	b	b	b	prep.	1) spatial location a) place in which something occurs	
179670	bt	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
# KTU 2.89 6						
179671	bt	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
179672	mlk	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	
179673	kll	kll/	kll	n. m. sg. abs. gen.	totality	
# KTU 2.89 7						
179674	šlm	šlm[	/š-l-m/	vb G suffc. 3 m. sg.	to be well, do well, be in peace	
179674	šlm	šlm(I)/	šlm (I)	n. m. sg. abs. nom.	peace	
179675	ṯmny	ṯm+ny	ṯm	adv.	there	
# KTU 2.89 8						
179676	ˤm	ˤm(I)	ʕm (I)	prep.	to	
179677	adty	ad(t/t+y	ảdt	n. f. sg. cstr. gen.	lady	
179678	mnm	mnm	mnm	indef. pn.	any(thing)	
179679	šlm	šlm[	/š-l-m/	vb G suffc. 3 m. sg.	to be well, do well, be in peace	
179679	šlm	šlm(I)/	šlm (I)	n. m. sg. abs. nom.	peace	
# KTU 2.89 9						
179680	w	w	w	conj.	3) in the correlation protasis-apodosis	
179681	rṯgm	r&ṯgm/	rgm	n. m. abs. nom.	word	KTU corrected: rgm
179682	tṯṯb	!t!](š&ṯ]ṯb[	/ṯ-b/	vb Š prefc.	to send (word)	
# KTU 2.89 10						
179683	ˤm	ˤm(I)	ʕm (I)	prep.	1) relationship of direction (space and time)	
179684	ˤbdh	ˤbd(I)/+h	ʕbd (I)	n. m. cstr. gen.	3) faithful	
# KTU 2.89 11						
179685	w	w	w	conj.	and	
179686	hln	hln	hln	deictic adv. functor	look!	
179687	ˤšrm	ˤšrm/	ʕšrm	num.	1) twenty b) appositional syntagms	
# KTU 2.89 12						
179688	dd	dd(II)/	dd (II)	n. m. sg. cstr. nom.	1) measure of capacity	
179689	šˤrm	šˤr(m/m	šʕrm	n. m. pl. abs. gen.	barley	
# KTU 2.89 13						
179690	w	w	w	conj.	and	
179691	ḫmš	ḫmš(I)/	ḫmš (I)	num.	five	
179692	dd	dd(II)/	dd (II)	n. m. sg. cstr. nom.	1) measure of capacity	
179693	g	g/	g	n. m. cstr. gen.	(loud) voice	
# KTU 2.89 14						
179694	gdl	gdl(II)/	gdl (II)	n. m. sg. abs. gen.	fully grown	
179695	w	w	w	conj.	and	
179696	ḫmš	ḫmš(I)/	ḫmš (I)	num.	1) numeral five b) genitive syntagms	
# KTU 2.89 15						
179697	dbd	d&bd(II)/	dd (II)	n. m. cstr. nom.	cauldronful	KTU corrected: dd
179698	nˤr	nˤr(I)/	nʕr (I)	n. m. sg. abs. gen.	boy	
179698	nˤr	nˤr(II)/	nʕr (II)	n. m. sg. abs. gen.	roasted	
179699	x	?	?	?	?	
# KTU 2.89 16						
179700	kd	kd(I)/	kd (I)	n. f. sg. cstr. nom.	2) “jar”	
179701	šmn	šmn(I)/	šmn (I)	n. m. sg. abs. gen.	1) oil c) esp	
179702	mr	mr(I)/	mr (I)	n. m. sg. abs. nom.	myrrh	
179702	mr	mr(IV)/	mr (IV)	adj. m. sg. abs. nom.	valiant	
179702	mr	mr(II)/	mr (II)	adj. m. sg. abs. nom.	bitter	
179702	mr	mr(V)/	mr (V)	n. m. sg. cstr. nom.	son	
# KTU 2.89 17						
179703	kd	kd(I)/	kd (I)	n. f. sg. cstr. nom.	jar	
179704	šmn	šmn(I)/	šmn (I)	n. m. sg. abs. gen.	oil	
179705	nr	nr/	nr	n. m. sg. cstr. nom.	2) lamp	
# KTU 2.89 18						
179706	kd	kd(I)/	kd (I)	n. f. sg. abs. nom.	jar	
179707	ḥmṣ	ḥmṣ/	ḥmṣ	n. m. sg. abs. nom.	vinegar	
# KTU 2.89 19						
179708	kd	kd(I)/	kd (I)	n. f. sg. cstr. nom.	jar	
179709	ztmm	zt/m+m(I)	zt	n. m. cstr. gen.	1) olive c) types	
# KTU 2.89 20						
179710	d	d	d	det. or rel. functor	the one(s) of	
179711	znt	zn(t/t	znt	n. f. sg. cstr. nom.	sustenance	
179712	adty	ad(t/t+y	ảdt	n. f. sg. cstr. gen.	lady	
# KTU 2.89 21						
179713	kllm	kll/m	kll	n. m. pl. abs. nom.	totality	
179714	štnt	?	?	?	?	DULAT candidates (no reconstructable encoding): /y-t-n/ - 1) to make (someone) give
