id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.91 1						
170456	yn	yn/	yn	n. m. sg. abs. nom.	3) production and consumption c) used in the cult	
170457	d	d	d	det. or rel. functor	2) which	
170458	ykl	!y!kl(y[	/k-l-y/	vb G prefc. 3 m. sg.	to finish, be finished, to empty, be emptied (out), to consume, be consumed	DULAT quote in bd (IV) (cue: consumed)
170459	bd	b&d	b	prep.	in	
170460	r	?	?	?	?	DULAT: NOT FOUND
# KTU 1.91 2						
170461	b	b	b	prep.	in	
170462	dbḥ	dbḥ/	dbḥ	n. m. sg. cstr. nom.	1) sacrifice	
170462	dbḥ	dbḥ/	dbḥ	n. m. sg. abs. nom.	1) sacrifice	
170462	dbḥ	dbḥ[	/d-b-ḥ/	vb G suffc. 3 m. sg.	to sacrifice	
170462	dbḥ	dbḥ[	/d-b-ḥ/	vb G impv. 2	to sacrifice	
170462	dbḥ	dbḥ[/	/d-b-ḥ/	vb G act. ptcpl. m. sg. abs. nom.	to sacrifice	
170463	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. nom.	2) qualifier in the genitive functioning as an adjective a) in gen.	
170464		?	?	?	?	
# KTU 1.91 3						
170465	dbḥ	dbḥ/	dbḥ	n. m. sg. cstr. nom.	1) sacrifice	
170465	dbḥ	dbḥ/	dbḥ	n. m. sg. abs. nom.	1) sacrifice	
170465	dbḥ	dbḥ[	/d-b-ḥ/	vb G suffc. 3 m. sg.	to sacrifice	
170465	dbḥ	dbḥ[	/d-b-ḥ/	vb G impv. 2	to sacrifice	
170465	dbḥ	dbḥ[/	/d-b-ḥ/	vb G act. ptcpl. m. sg. abs. nom.	to sacrifice	
170466	ṣpn	ṣpn/	ṣpn	TN/DN sg. cstr. nom.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
# KTU 1.91 4						
170467	tzġm	tzġ/m	tzġ	n. m. pl. cstr. gen.	kind of sacrificial meat	
# KTU 1.91 5						
170468	ilib	ilib(I)/	ỉlỉb (I)	DN sg. cstr. gen.	father god	
# KTU 1.91 6						
170469	il	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
170469	il	il(I)/	ỉl (I)	n. m. sg. cstr. gen.	god	
170470	bldn	bld/+n	bld	n. m. cstr. gen.	land	
# KTU 1.91 7						
170471	pdry	pdry/	pdry	DN sg. abs. nom.	Pidray	
170472	bt	b(t(I)/t	bt (I)	n. f. sg. abs. nom.	daughter	
170473	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. nom.	king	
# KTU 1.91 8						
170474	alp	alp(I)/	ảlp (I)	n. m. sg. cstr. nom.	(head of) cattle	
170474	alp	alp(I)/	ảlp (I)	n. m. sg. abs. nom.	(head of) cattle	
170474	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
170475	izr	izr/	ỉzr	n. m. sg. abs. nom.	investiture	
# KTU 1.91 9						
170476	xrz	?	?	?	?	DULAT: NOT FOUND
# KTU 1.91 10						
170477	k	k(III)	k (III)	Subordinating or completive functor	when	DULAT quote in k (III) (cue: when)
170478	tˤrb	!t!ˤrb[	/ʕ-r-b/ (I)	vb G prefc. 3 f. sg.	1) to enter	
170478	tˤrb	!t=!ˤrb[	/ʕ-r-b/ (I)	vb G prefc. 2 m. sg.	1) to enter	
170478	tˤrb	!t==!ˤrb[	/ʕ-r-b/ (I)	vb G prefc. 2 f. sg.	1) to enter	
170478	tˤrb	!t!ˤrb[	/ʕ-r-b/ (I)	vb G prefc. 3 m. du.	1) to enter	
170478	tˤrb	!t!ˤrb[:w	/ʕ-r-b/ (I)	vb G prefc. 3 m. pl.	1) to enter	
170478	tˤrb	!t===!ˤrb[	/ʕ-r-b/ (I)	vb G prefc. 2 m. pl.	1) to enter	
170479	ṯˤṯtrt	&ṯˤṯtr(t(I)/t	ʕṯtrt (I)	DN f. sg. cstr. nom.	ʿAṯtartu/Astarte/Ishtar	KTU corrected: ʿṯtrt
170479	ṯˤṯtrt	&ṯˤṯtrt(II)/	ʕṯtrt (II)	TN sg. cstr. nom.	ʿṯtrt (II)	KTU corrected: ʿṯtrt
170480	šd	šd(I)/	šd (I)	n. m. sg. cstr. gen.	open field	
170480	šd	šd(II)/	šd (II)	n. m. sg. cstr. gen.	a strip	
170481	bt	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
170482	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	king	
# KTU 1.91 11						
170483	k	k(III)	k (III)	Subordinating or completive functor	when	DULAT quote in ršp (cue: when)
170484	tˤrbn	!t!ˤrb(I)[+n	/ʕ-r-b/ (I)	vb G prefc.	to enter	
170485	ršpm	ršp/m	ršp	DN pl. cstr. nom.	Rašap	
170486	bt	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
170487	mlk	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	
# KTU 1.91 12						
170488	ḫlu	ḫlu/	ḫlủ	n. m. sg. cstr. gen.	cake	
170489	dg	dg(I)/	dg (I)	n. m. sg. abs. gen.	fish	
# KTU 1.91 13						
170490	ḥdṯm	ḥdṯ(II)/+m(I)	ḥdṯ (II)	n. m. cstr. gen.	new moon	
# KTU 1.91 14						
170491	dbḥ	dbḥ/	dbḥ	n. m. sg. cstr. nom.	1) sacrifice	
170491	dbḥ	dbḥ/	dbḥ	n. m. sg. abs. nom.	1) sacrifice	
170491	dbḥ	dbḥ[	/d-b-ḥ/	vb G suffc. 3 m. sg.	to sacrifice	
170491	dbḥ	dbḥ[	/d-b-ḥ/	vb G impv. 2	to sacrifice	
170491	dbḥ	dbḥ[/	/d-b-ḥ/	vb G act. ptcpl. m. sg. abs. nom.	to sacrifice	
170492	bˤlxxxxx	bˤl(II)/	bʕl (II)	n. m. abs. nom.	Baʿlu/Baal	KTU corrected: bʿl
170492	bˤlxxxxx	bˤl[xxxxx	/b-ʕ-l/	vb	to make	KTU corrected: bʿl
170493	k	k(III)	k (III)	Subordinating or completive functor	when	DULAT quote in /n-d-d/ (cue: when)
170494	tdd	!t!(ndd[	/n-d-d/	vb G prefc.	to go, move	
170495	bˤlt	bˤl(t/t	bʕlt	n. f. sg. cstr. nom.	lady	
170496	bhtm	bht(II)/m	bt (II)	n. m. pl. abs. gen.	house	
# KTU 1.91 15						
170497	b	b	b	prep.	in	
170498	ġb	ġb(I)/	ġb (I)	n. m. sg. cstr. nom.	(sacrificial) pit	DULAT quote in ġb (I) (cue: sacrificial)
170499	ršp	ršp/	ršp	DN sg. cstr. nom.	Rašap	
170500	ṣbi	ṣb(u&i(I)/	ṣbủ (I)	n. m. sg. abs. gen.	1) army	DULAT quote in ṣbủ (I) (cue: army)
# KTU 1.91 16						
170501	xxxxxkm	?	?	?	?	DULAT: NOT FOUND
# KTU 1.91 17						
170502	xxxxxxh	?	?	?	?	DULAT: NOT FOUND
170503	iln	il(I)&n/	ỉl (I)	n. m. sg. abs. nom.	god	
170503	iln	iln(I)/	ỉln (I)	n. m. sg. abs. nom.	1) deity	
# KTU 1.91 18						
170504	xxxxx	?	?	?	?	
170505	ṣmdt	?	?	?	?	DULAT: NOT FOUND
170506	rxš	?	?	?	?	DULAT: NOT FOUND
170507	pdġy	pdġy/	pdġy	PN sg. abs. nom.	pdġy	
# KTU 1.91 19						
170508	xxxxx	?	?	?	?	
