id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.79 1						
159287	x	?	?	?	?	
159288	hnd	hnd/	hnd	dem. adj./pn.	this	
159289	ˤmn	ˤm(I)+n	ʕm (I)	prep.	to	
# KTU 2.79 2						
159290	lpš	lpš/	lpš	n. m.	cloak	
159291	hlny	hlny	hlny	deictic adv. functor	behold	
# KTU 2.79 3						
159292	ˤmt	?	?	?	?	DULAT: NOT FOUND
159293	w	w	w	conj.	and	
159294	ištn	!i!šty[	/š-t-y/	vb	to drink	
159295	lk	l(I)+k	l (I)	prep.	to	
# KTU 2.79 4						
159296	xk	?	?	?	?	DULAT: NOT FOUND
159297	w	w	w	conj.	and	
159298	al	al(I); al(II)	ảl (I); ảl (II)	neg. functor; pos. functor	no; surely	
159299	tšiḫrhm	!t!]š]ʔḫr[	/ʔ-ḫ-r/	vb	generic mng to go behind > D to retain (?)	
# KTU 2.79 5						
159300	xnt	?	?	?	?	DULAT: NOT FOUND
159301	lk	l(I)+k	l (I)	prep.	to	
159302	bd	b	b	prep.	in	
# KTU 2.79 6						
159303		?	?	?	?	
# KTU 2.79 7						
159304	x	?	?	?	?	
159305	mzn	mzn/	mzn	n. m.	weight	
# KTU 2.79 8						
159306	xxxxkbd	?	?	?	?	DULAT: NOT FOUND
# KTU 2.79 9						
159307	xxxxx	?	?	?	?	
159308		?	?	?	?	
# KTU 2.79 10						
159309	sp	sp/	sp	n. m.	bowl	
159310	nˤmm	nˤm(I)/	nʕm (I)	adj. m.	handsome	
159311	mlbš	mlbš/	mlbš	n. m.	cloak	
159312	š	š/	š	n. m.	ram	
159313	ktn	ktn(I)/	ktn (I)	n. f.	shirt-like tunic	
159314	nˤmm	nˤm(I)/	nʕm (I)	adj. m.	handsome	
# KTU 2.79 11						
159315	ṣpy	ṣpy[	/ṣ-p-y/	vb	to plate	
159316	b	b	b	prep.	in	
159317	ḫrṣ	ḫrṣ/	ḫrṣ	n. m.	gold	
159318	nˤmm	nˤm(I)/	nʕm (I)	adj. m.	handsome	
159319	nˤmm	nˤm(I)/	nʕm (I)	adj. m.	handsome	
