id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.94 1						
160077	x	?	?	?	?	
160078	xt	?	?	?	?	DULAT: NOT FOUND
# KTU 2.94 2						
160079	mlkn	mlk(I)	mlk (I)		king	
# KTU 2.94 3						
160080	x	?	?	?	?	
160081	rḫnn	rḫnt/+n(I); rḫnt/+n(II); rḫnt/+n(III)	rḫnt, -n (I); rḫnt, -n (II); rḫnt, -n (III)	n. f., morph.; n. f., pers. pn./morph./vb; n. f., pers. pn./morph.	sweetness, Sun; sweetness, me; sweetness, our	
# KTU 2.94 4						
160082	ˤh	ˤšr(I)/+h(I); ˤšr(I)/+h(II); ˤrš/+h(I)	ʕšr (I), -h (I); ʕšr (I), -h (II); ʕrš, -h (I)	n. num., pers. pn./morph.; n. num., adv. functor; n. f., pers. pn./morph.	ten, his /her (hers) / its; ten, to; bed, his /her (hers) / its	
160083	yšk	?	?	?	?	DULAT: NOT FOUND
# KTU 2.94 5						
160084	xktx	?	?	?	?	DULAT: NOT FOUND
