id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.20 1						
156872	tḥm	tḥm/	tḥm	n. m.	message	
156873	mlk	mlk[; mlk(II)/	/m-l-k/; mlk (II)	vb; n. m.	to reign; kingdom (power and territory)	
156874	grgmš	grgmš/	grgmš	TN	gargamiš	
# KTU 2.20 2						
156875	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
156876	xxxx	?	?	?	?	
156877	mlk	mlk[; mlk(II)/	/m-l-k/; mlk (II)	vb; n. m.	to reign; kingdom (power and territory)	
156878	ugrt	ugrt/	ủgrt	TN	ʾugarītu	
156879	rgm	rgm[; rgm/	/r-g-m/; rgm	vb; n. m.	to say; word	
156880	yšlm	!y!šlm[	/š-l-m/	vb	to be well	
156881	lk	l(I)+k	l (I)	prep.	to	
# KTU 2.20 3						
156882	xxxxxxxm	?	?	?	?	DULAT: NOT FOUND
156883	rgm	rgm[; rgm/	/r-g-m/; rgm	vb; n. m.	to say; word	
# KTU 2.20 4						
156884	xxxxxxšknt	?	?	?	?	DULAT: NOT FOUND
# KTU 2.20 5						
156885	xxxxxxxxdy	?	?	?	?	DULAT: NOT FOUND
# KTU 2.20 6						
156886	xxxxxxxxxk	?	?	?	?	DULAT: NOT FOUND
# KTU 2.20 7						
156887	xxxxxxxxxm	?	?	?	?	DULAT: NOT FOUND
# KTU 2.20 8						
156888	x	?	?	?	?	
156889	xx	?	?	?	?	
156890	xnl	?	?	?	?	DULAT: NOT FOUND
156891	xx	?	?	?	?	
# KTU 2.20 9						
156892	yḥxxn	?	?	?	?	DULAT: NOT FOUND
# KTU 2.20 10						
156893	k	+k; ~k; k(III); k(I); k(II)	-k (I); -k (II); k (III); k (I); k (II)	;;Subordinating or completive functor; prep.; emph. functor	when; like; yes	
156894	xx	?	?	?	?	
156895	xx	?	?	?	?	
156896	x	?	?	?	?	
# KTU 2.20 11						
156897	wx	?	?	?	?	DULAT: NOT FOUND
156898	xx	?	?	?	?	
156899	xx	?	?	?	?	
156900	x	?	?	?	?	
# KTU 2.20 12						
156901	r	?	?	?	?	
# KTU 2.20 13						
156902	x	?	?	?	?	
# KTU 2.20 14						
156903	x	?	?	?	?	
